,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
0,0.050389305,1.9778105,0.1772195,0.009802437,0.013566336,0.0071534943,0.020664092,0.009499057,0.013355891,0.009170441,0.007431652,0.14879465,4.536699
1,0.38813853,2.7687304,0.013593095,0.013772914,0.01688777,0.030695159,0.054666564,0.25879106,0.01937278,2.2587996,0.011837875,0.041250605,0.13209686
2,0.07917699,2.0814092,0.0143121015,0.009078465,0.018214697,0.015301601,0.029200438,0.013939291,0.037398096,1.6643856,0.72484267,0.02292681,0.24233559
3,0.043004476,0.007006807,0.0072160047,0.007066801,0.012665709,0.70586044,0.03115249,0.38978547,0.008030064,0.0077979686,1.030295,0.07767983,3.3793163
4,0.11435241,3.384686,0.017194502,0.01486201,0.029866112,0.028999276,0.07210804,0.024958055,0.03509922,1.5266806,0.07407625,0.023483362,0.034501992
5,0.0842557,1.2602838,0.019049462,0.034170575,0.038863644,0.019759526,0.085903935,0.018171728,0.052524906,1.3232683,3.6341717,0.019478695,0.033240914
6,0.04615485,0.90261626,0.0070736147,0.010726048,0.024341993,0.122380026,0.047101315,0.1772444,0.014676793,0.024811374,1.225801,0.121359594,2.0588453
7,2.6284075,0.0035507726,0.008146907,0.021423647,0.010635562,0.015265766,0.029925557,0.009673168,0.0070022503,0.003267884,1.3559313,0.0133729,0.013258544
8,0.0222933,0.42813998,0.008633704,0.004979511,0.009822098,0.031599145,0.01416714,0.034803886,0.007473567,0.80723363,0.020137511,0.0329391,1.8889357
9,1.8029462,1.1085219,0.7163118,0.008498136,0.012497499,0.035536833,0.034195952,0.013581289,0.012541666,0.004207171,0.008731551,0.09655969,0.3626783
10,0.029331626,0.01914722,0.0063307486,0.0066307755,0.007939087,0.005707452,0.015840484,0.0052181105,0.020964451,2.0592763,1.7664149,0.0049054297,0.007809424
11,1.5498047,0.42840865,0.01668113,0.07176148,0.11708879,1.3580326,0.11418885,0.10536408,0.09550535,0.063329354,4.125179,0.053213716,0.27038866
12,4.5659456,0.0015067885,0.003903559,0.013617972,0.023684325,0.012101056,0.025654567,0.004672069,0.0054115984,0.0020552145,0.16235834,0.004552831,0.006714558
13,0.25881577,1.4923055,0.0076837833,0.0062504746,0.056847863,0.012845114,0.12322004,0.016065517,0.033548947,0.1460311,1.3167163,0.013993231,0.022461409
14,0.052288637,0.06264492,0.010612457,0.010059343,0.039380074,0.016204728,0.01708815,0.015154948,0.009502715,2.2356687,1.3015413,0.027253242,1.2309343
15,0.051432583,0.6590592,0.055751033,0.01496312,0.020688282,0.07729078,0.029197648,0.033760127,0.0155041125,3.9332395,1.3893894,0.015711125,0.019813873
16,2.4249973,0.942162,0.09814156,0.012956844,0.011960689,0.009798012,0.016537983,0.0065776776,0.010463638,0.004173,0.015964592,0.014641799,0.31649783
17,1.7759831,0.004898168,0.0066171996,0.0152968485,0.010311983,0.0112411305,0.021777073,0.024843566,0.06758804,0.93119705,0.013522259,0.25850767,1.1219227
18,0.06890077,0.009651714,0.010887076,0.009048685,0.013121575,0.06027031,0.034448665,0.07498045,0.017296076,0.0074838307,2.6554697,0.061526213,2.090224
19,1.7322454,0.0073408005,0.011579925,0.014617549,0.021170551,0.13332963,0.119005166,0.060817987,0.014909622,2.0078433,0.14702722,0.03740332,1.1438593
20,0.07389892,1.0727876,0.6723414,0.6613125,0.022729203,0.0060837585,0.04618363,0.019995656,0.009840024,0.08829777,0.6426491,0.034339685,0.85395086
21,2.8263006,1.6169778,0.008533973,0.7015792,0.01885729,0.017605783,0.02525422,0.010992819,0.012231147,0.0107089775,0.008302113,0.07914301,0.692665
22,0.034399267,0.03132728,0.008044676,0.0077234777,0.011331727,0.018999554,0.028421652,0.0775721,0.014797606,3.671408,0.037307654,0.021533806,0.434766
23,0.0575265,0.0066667316,0.006220267,0.008715788,0.019891152,0.031801574,0.13286462,0.17991954,0.006193378,0.006791046,1.3306112,0.058112677,2.8484013
24,0.055393953,0.012015872,0.030311389,0.015984347,0.012159361,0.4784038,0.028609721,0.07974116,0.043637265,3.0223794,1.8224946,0.30890712,0.16188353
25,0.0614192,0.22757675,0.0539142,0.011090919,0.02206612,0.023888556,0.039000537,0.012296266,0.6616672,0.03660199,2.3073418,0.14873192,1.194797
26,1.8442117,2.7577984,0.0039172554,0.007588376,0.069013305,0.0073421733,0.0626426,0.0074958145,0.01403038,0.0031731862,0.007334152,0.007726227,0.0076584322
27,1.2721704,0.58429116,0.006047776,0.011092478,0.01038288,0.03961548,0.033749092,0.06722989,0.015942916,0.0048927683,1.3393396,0.020768581,1.343192
28,0.05338966,3.641492,0.012324147,0.19782883,0.010410279,0.012846835,0.022703895,0.013060279,0.017597934,0.005161038,1.4171951,0.011155296,0.036486976
29,0.057541404,1.4810547,0.00543141,0.0071133734,0.024664989,0.0071060606,0.19511926,0.015568682,0.014819727,0.13653392,0.08884142,0.011256001,0.04578308
30,0.027249338,0.8971559,0.03605094,0.0077593755,0.00827278,0.04602637,0.019161802,0.02667201,0.029254826,1.4749768,0.95915085,0.008899704,0.011206318
31,0.80624235,0.3307601,0.008557663,0.0057829535,0.06656503,0.0026175734,0.0185629,0.007707122,0.015618139,0.0073195547,0.5272073,0.18181844,0.60320026
32,0.03149995,0.0831299,0.0049565868,0.010379936,0.015048217,0.01608223,0.01678981,0.029989002,0.016712986,1.7562904,0.17233145,0.03067603,0.27752507
33,0.61934793,1.5169935,0.008694109,0.007209633,0.011266869,0.008787802,0.028529314,0.01705717,0.067898184,0.71946824,1.2622931,0.01536194,0.5519947
34,0.52733475,2.271099,0.00991095,0.6310868,0.13375394,0.0063783256,0.29481065,0.011638843,0.020059856,0.9807901,0.0119257765,0.032387987,1.6268989
35,0.019896872,1.2809336,0.004436513,0.0037937353,0.0074602515,0.0101655135,0.015641654,0.013191776,0.025931837,0.022432482,1.0744691,0.017321337,1.7583622
36,2.2560287,2.4030368,0.007180031,0.015090484,0.027777363,0.026214795,0.031404678,0.031928416,0.11046386,0.0025200273,0.92215246,0.011617651,0.0134386895
37,1.9092914,0.007812498,0.003957324,0.01871361,0.009422847,0.0071487753,0.027769655,0.008929688,0.009468167,0.0053531067,0.12801625,0.019485528,2.1050432
38,0.037887465,0.21049243,0.005858121,0.008337877,0.015386223,0.035394106,0.019743364,0.020455686,0.015004544,0.31481203,0.014977196,0.039940536,2.6363795
39,0.0317004,1.5492352,0.0047170995,0.009644464,0.009164206,0.013269453,0.017555203,0.010479408,0.026551146,0.0055504176,0.37652248,0.02141367,1.627058
40,0.035234768,0.002720024,0.26160863,0.0072934837,0.006219256,0.025967015,0.012133655,0.04460817,0.010699969,1.068459,2.5269387,0.017132346,0.054272454
41,0.048520625,0.42581642,0.00536045,0.005215524,0.008460084,0.0063437107,0.03636696,0.01445879,0.0075730314,0.9703109,0.010899918,0.012676328,0.024504704
42,1.1308169,1.4601034,0.0047761197,0.011237251,0.049190685,0.00795349,0.04080663,0.01527595,0.018413007,0.0070216255,0.017985541,0.03450134,1.5447153
43,0.041351765,1.5594977,0.010357593,0.0051734257,0.01344553,0.007973439,0.023782156,0.01537518,0.012343051,2.3052192,0.010031664,0.021744752,0.23559143
44,0.07439873,3.235585,0.010298475,0.009689539,0.012515834,0.013958084,0.01574226,0.013708669,0.021064864,0.0062201675,0.41730204,0.043540407,1.8499513
45,0.04901161,1.3951498,0.017646331,0.0142163765,0.00986161,0.0065020113,0.040444754,0.019189918,0.0113857165,0.010343735,0.9505792,0.035327293,1.1600766
46,0.058226597,3.6982195,0.014438155,0.01046112,0.01730972,0.037638165,0.029314965,0.014853125,0.06390849,0.96500564,0.01999317,0.05511933,0.8633847
47,0.07374952,2.2333145,0.017835453,1.011788,0.046291992,0.14987484,0.11584682,0.11143946,0.19261843,2.9901636,0.17348574,0.052574664,0.25946832
