,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
0,0.11270227,2.4498231,0.3379881,0.01704962,0.01676286,0.009037561,0.031752605,0.009757505,0.009481939,0.008452187,0.0030583912,0.19209826,5.469841
1,0.23387575,3.3392322,0.009754093,0.008512068,0.01300033,0.010655088,0.049707115,0.34103486,0.014375626,2.828117,0.0051654293,0.038389932,0.02972065
2,0.055692635,2.306746,0.013015324,0.007868626,0.012758194,0.015629193,0.1241927,0.040217195,0.029349994,1.8412114,0.8417781,0.024095725,0.12783824
3,0.052759856,0.007115398,0.010369591,0.0059599816,0.009422285,0.7527397,0.017484814,0.10745875,0.0072465423,0.004820315,1.5887761,0.108297884,4.030156
4,0.17506117,3.623961,0.009939141,0.010575493,0.015381723,0.01631479,0.10493881,0.022031639,0.022406604,1.6116896,0.18254018,0.009738763,0.014353422
5,0.045241695,1.4147817,0.042773385,0.013395795,0.010363949,0.015788944,0.010456599,0.012819745,0.1711392,1.5759912,4.070254,0.011816892,0.013280897
6,0.038611915,1.0122384,0.00574005,0.009503923,0.015218444,0.31112865,0.018982857,0.05897052,0.012491178,0.01182902,1.2291722,0.10058365,2.4093356
7,3.163183,0.0041546174,0.008641433,0.012005612,0.0075898585,0.01817765,0.011180163,0.0078512775,0.0089897625,0.004671474,1.5130817,0.0102828005,0.011759803
8,0.028866056,0.35489333,0.005977105,0.00828765,0.008845934,0.16570753,0.0063217473,0.012447413,0.009918647,0.7631949,0.06146233,0.01645234,1.7043903
9,1.7469262,1.3064879,0.87499654,0.00512854,0.019306056,0.038288634,0.025161043,0.008335799,0.01103475,0.004444062,0.005301027,0.08983304,0.37767604
10,0.026808033,0.014289488,0.008055563,0.0042986753,0.0048809,0.006296881,0.0061069964,0.006721101,0.020869961,2.4191043,2.073183,0.006219114,0.007952773
11,2.0566525,0.4722886,0.034294054,0.041495413,0.05209226,1.7585812,0.04327768,0.13410099,0.42605242,0.12403196,4.0606537,0.05948763,0.25291753
12,5.268084,0.0016662199,0.0040952293,0.004721297,0.013709407,0.0093773035,0.009203408,0.006380615,0.004558577,0.004044413,0.20859443,0.004902625,0.0073376647
13,0.57008576,1.3625027,0.010393715,0.004603066,0.021309327,0.009172731,0.1323927,0.013311278,0.013994236,0.05232244,1.4584872,0.010174921,0.014041262
14,0.05026581,0.087522574,0.063525625,0.025007835,0.024025446,0.009770367,0.03914152,0.03174143,0.006777148,2.449609,1.6205524,0.027747903,1.2457254
15,0.061901353,0.82375866,0.02098435,0.032274798,0.0139294,0.040260654,0.010922921,0.041443016,0.011111304,4.602064,1.5528362,0.015542415,0.0118875075
16,2.4933693,1.0622822,0.11066761,0.027213633,0.016227905,0.0061749443,0.051111646,0.0132064875,0.0063800267,0.0050959075,0.01605037,0.01664454,0.19382486
17,2.4028583,0.00571191,0.010605322,0.043999996,0.011618808,0.012995716,0.15135768,0.02289933,0.024613807,1.0736516,0.0056915046,0.41092682,1.0075235
18,0.16152559,0.014135139,0.058414813,0.014951232,0.010099368,0.071704805,0.052395366,0.16002741,0.023967277,0.016199451,2.4257612,0.056740094,2.0442693
19,2.9150822,0.0032033937,0.0083002895,0.005417905,0.016338998,0.13216272,0.061724942,0.05840875,0.0077232663,2.315763,0.19870456,0.029372634,1.0611455
20,0.078648485,1.1397129,0.7365252,0.7939235,0.011363245,0.0042459657,0.19431221,0.012903711,0.0074991155,0.013905666,0.9154146,0.02568167,0.89430064
21,2.2071967,2.0585237,0.0059541254,1.1867646,0.019781062,0.03890244,0.018389972,0.01183719,0.015742922,0.01679502,0.008507802,0.11354163,0.73901767
22,0.058384534,0.026715998,0.005810851,0.01377693,0.010854751,0.03657003,0.0773527,0.0883033,0.01132925,3.8381083,0.015095565,0.022687407,0.5322383
23,0.076821156,0.012416408,0.012184504,0.007161291,0.011360142,0.01620863,0.017781036,0.03841877,0.0068891607,0.0075439354,1.980513,0.088339075,3.2894733
24,0.03250165,0.010596434,0.011319535,0.008203799,0.009453205,0.39260465,0.007878568,0.061399832,0.03188967,3.6243694,2.4779263,0.10998848,0.27013656
25,0.062364414,0.24423179,0.08284294,0.015501317,0.042895813,0.04243903,0.039272543,0.015689591,1.0179796,0.039426945,1.9071631,0.17610493,1.1742054
26,1.8286307,2.659099,0.0058626784,0.008521691,0.094683625,0.012288812,0.034346454,0.009807771,0.014361413,0.0034119328,0.011479141,0.006978346,0.008691404
27,1.5174961,0.7992789,0.0065324884,0.010605916,0.010236052,0.038329195,0.029799195,0.33632013,0.014035977,0.005510369,1.3784171,0.026992366,1.4127889
28,0.07999174,3.9864905,0.010594704,0.24532357,0.015114392,0.011870029,0.02534152,0.00795345,0.01329663,0.0054760124,1.881479,0.009495431,0.013354481
29,0.05107939,1.2671125,0.01043358,0.008747893,0.010456222,0.0028761283,0.48829532,0.019813063,0.01130602,0.06656753,0.17448524,0.0077677798,0.020049501
30,0.023183659,0.85692024,0.012694341,0.0037009742,0.005756096,0.027309708,0.0074762264,0.015189945,0.025970196,1.6218209,1.0744399,0.008192895,0.007859835
31,1.0464499,0.38176262,0.050076373,0.009711474,0.12513866,0.0024784831,0.024761135,0.005464817,0.014429225,0.007818726,0.71381533,0.23729883,0.48200104
32,0.03157598,0.16214277,0.0071293954,0.03544084,0.015722657,0.013089884,0.0123473955,0.0428045,0.036493547,2.0596921,0.26259568,0.024028638,0.17943524
33,1.2659326,1.5439216,0.0055848267,0.005230883,0.009781082,0.007542658,0.10494609,0.02038409,0.022326127,0.6602236,1.4170945,0.011760505,0.43290117
34,1.7925063,2.5322917,0.007885576,0.7649828,0.053129125,0.007814004,0.032251023,0.0078432355,0.04649084,1.0735908,0.033752456,0.0385248,1.7614089
35,0.024601754,1.5420818,0.0059036175,0.0049132085,0.009221224,0.0132849235,0.013505815,0.009379255,0.031998936,0.009737327,1.3958255,0.023790283,2.1012573
