,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
0,0.062125515,0.037095472,0.11520625,0.113274686,0.050570544,0.23161669,0.09585067,1.035418,13.440501,0.081618264,0.099925615,0.020281682
1,0.04153929,0.00800536,0.13037096,0.06532424,0.044084527,0.4989934,8.076391,0.034535557,1.4495363,0.104273774,0.07364028,0.0048885
2,0.010649006,0.0031611705,0.0778986,0.023799261,0.03291729,2.618761,0.04065317,12.076543,0.094442666,0.14929655,0.051717676,0.0023090846
3,0.008942244,0.004702533,0.08849763,0.016839026,0.04457885,3.4084392,0.061050717,16.165909,0.042109292,0.5261432,0.041017912,0.0021298155
4,0.010089463,0.005896316,0.058155857,0.019691931,0.030638836,2.5897338,0.060327936,9.728519,0.05040853,0.28087127,0.027931547,0.0054905214
5,0.021766726,0.007130986,0.1512059,0.07230947,0.054244306,1.7935475,0.041458577,6.9569607,12.849522,0.15958299,0.10022154,0.0036970892
6,0.026804507,0.010065783,0.07076062,0.055224348,0.043541715,0.428095,5.3453827,1.9957618,1.9201266,0.098118864,0.043897558,0.007759414
7,0.02451345,0.008273705,0.18752313,0.09880867,0.040400002,1.4944986,2.5583818,7.030867,4.942222,0.17816453,0.087247334,0.0032380498
8,0.020287486,0.007428682,0.13725436,0.064430356,0.048571315,0.38365102,1.8294077,0.020652963,13.00534,0.13798358,0.07736377,0.0032752196
9,0.014155252,0.004726688,0.0918688,0.024256632,0.045138635,2.1513286,5.132759,7.5708637,0.11212436,0.28992122,0.040550876,0.0033798756
10,0.025056038,0.054044023,0.05913611,0.046501577,0.026977967,0.27879667,0.9177233,1.2188729,6.4624977,0.05716111,0.045137137,0.07335495
11,0.011449934,0.0037690261,0.0634072,0.019180791,0.02285105,1.811322,0.12294792,8.11091,0.07461007,0.26243177,0.03211907,0.002808487
12,0.012160094,0.0053411787,0.20913926,0.026824549,0.046751194,1.837278,12.526214,1.1546966,0.18044485,0.59822917,0.06568228,0.0026351924
13,0.007467148,0.0025090252,0.060740758,0.014512473,0.024575891,2.528034,4.3280215,5.7171693,0.049102157,0.8847922,0.033157192,0.0016887918
14,0.014722158,0.008134829,0.07406606,0.03135172,0.03406992,0.3623993,3.61746,0.018536994,5.5863986,0.09052742,0.05161827,0.003410143
15,0.027886296,0.0067752586,0.057546705,0.046117127,0.029859813,0.6142941,5.9539914,2.5915232,1.3138859,0.118461594,0.041637804,0.0036138543
16,0.11945946,0.038726293,0.13153607,0.18646857,0.11811599,0.4180525,0.12243099,2.4428334,11.463014,0.14161806,0.54774123,0.01823443
17,0.028073898,0.010298877,0.10465881,0.07052225,0.03738715,0.35420758,4.7304845,1.0308822,3.814703,0.08851189,0.05436601,0.0046662097
18,0.03007991,0.05554371,0.045051128,0.049061876,0.020217929,0.40064698,4.441284,2.6889367,0.288387,0.066055,0.083900765,0.029443912
19,0.02235903,0.005574613,0.14229153,0.028770378,0.056162506,2.7368557,10.485343,9.457912,0.07766323,0.36686245,0.06118274,0.0026765175
20,0.05047901,0.017662458,0.13672332,1.8081304,0.057108067,0.75803035,3.0835357,2.2918098,3.470417,0.116311885,0.09404327,0.009694861
21,0.020435154,0.006492067,0.09283389,0.06293314,0.043563567,0.5172727,0.03878962,2.825338,8.593312,0.09202986,0.05829163,0.0037058243
22,0.025450481,0.010704658,0.19550276,0.08415009,0.12272653,0.7671254,0.050191436,2.4654636,11.820697,0.09614262,0.10781907,0.008285214
23,0.013747572,0.008335486,0.06921555,0.022648137,0.02222107,0.52895343,8.089752,0.18089233,0.405822,0.14447485,0.035530876,0.0043282514
24,0.023309976,0.0072668903,0.1062308,0.02995015,0.06290367,1.5429298,10.855574,4.2374997,0.110812865,0.47643986,0.055062953,0.0036594416
25,0.05388194,0.04596012,0.18955803,0.12680888,0.10389606,0.97074395,6.279663,0.1048923,11.281559,0.18568258,0.14160728,0.29797992
26,0.07805505,0.0112452,0.13444565,0.121568404,0.08718849,0.6930465,5.911418,0.23952067,4.779262,0.12942444,0.06087537,0.0060799653
27,0.09156875,0.016931618,0.09142571,0.110250585,0.061087303,0.42176533,0.50652295,1.7206557,11.428509,0.118291266,0.060463075,0.019575497
28,0.009807935,0.003269331,0.04776116,0.0287525,0.023910582,0.61310226,5.9186964,0.016212642,1.2934313,0.08296857,0.026188266,0.0023926054
29,0.011956057,0.0029841175,0.034688104,0.015738096,0.02484243,1.0525295,1.79433,4.071964,0.044721007,0.08688138,0.020563196,0.003109171
30,0.17676523,0.08936089,0.07101407,0.1668822,0.039728805,0.44464642,1.6861945,4.7716465,2.290566,0.12302103,0.03937384,0.33904502
31,0.022034053,0.007645003,0.07433172,0.07063825,0.044625234,0.811179,2.9810765,1.3909444,2.86418,0.09732143,0.06631122,0.0052718846
32,0.114265315,0.023566665,0.1218304,0.2048994,0.06396509,0.18365431,0.68849266,0.028743824,9.5096855,0.05787014,0.11444198,0.010917047
33,0.04459237,0.008045079,0.07790089,0.048734862,0.051686656,2.4474592,2.001479,9.707934,2.1509492,0.2307211,0.06366506,0.004501296
34,0.02527861,0.0072011435,0.074756935,0.05978606,0.03006446,0.1095836,0.06159479,0.018764641,12.320706,0.05765288,0.07365252,0.004762969
35,0.016018726,0.0068634576,0.08901638,0.04639835,0.05670211,0.7691016,0.12588891,2.6853828,6.8342524,0.1357301,0.05495112,0.0038407766
36,0.01362822,0.0050946316,0.07099513,0.045658432,0.0403176,0.99257714,0.06651389,4.3308635,3.3852954,0.073436886,0.059692193,0.0050486387
