,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
0,0.007502048,0.008303692,2.1858747,0.025347479,0.023221407,1.4322071,0.00788162,0.74949795,0.39167568,0.051692292,0.21210264,0.37058118
1,0.019322272,0.033577904,0.58517146,0.72182417,0.37024114,0.15061611,0.8498727,0.047298126,1.0665209,1.4363859,0.24717502,1.4703484
2,0.015468203,0.0111656375,0.33877617,0.6528278,0.78656286,1.0671949,0.087770276,0.22679897,0.15334794,1.7183723,0.44659737,0.4059046
3,0.013277925,0.010069414,0.20231543,0.22825478,1.0943385,1.0259082,0.013001513,1.7860819,2.205597,0.9213491,1.759509,0.09587813
4,0.14636347,0.24682036,0.93373543,0.2371454,2.7688146,0.3392067,0.63338315,0.48053098,0.08314227,0.788522,0.42783168,0.6239778
5,0.032473996,0.027858434,1.6338464,0.093130164,0.04423681,0.66859126,0.0056394585,1.2449119,0.14074428,0.019351657,1.5050974,1.4483336
6,0.0139914565,0.026739793,0.76623166,0.44083437,1.5159371,0.093035206,0.0051931064,0.4198233,0.11058616,0.015438237,0.7373716,3.3137941
7,0.011895625,0.0026022138,0.9951162,0.54531777,1.8841348,0.35658008,0.4108154,0.23388319,0.031759135,0.70097995,0.6250358,0.002878585
8,0.0366713,0.09619135,0.08806855,0.029753879,1.2501317,1.4192991,0.012219852,0.6876821,0.023913674,0.68557954,2.7716777,0.51779824
9,0.012145283,0.007586086,1.7685342,0.03233596,1.0101604,1.4876643,0.11619401,0.07698312,1.792825,1.0760474,0.70544726,0.008271562
10,0.30371985,0.07726116,0.44232398,1.9305898,0.46129078,0.18999182,0.0074681486,1.6711041,1.0812845,0.51398605,0.51050603,2.007955
11,0.008851041,0.037558302,2.668769,0.08422313,0.42591482,1.164676,2.0728014,0.069750294,1.3602638,0.10920666,0.13690203,0.17847343
12,0.33217564,0.020334842,1.1759642,0.6138079,0.36319488,1.3975487,0.013923707,0.20567802,0.26955825,0.3877415,0.584874,0.52607673
13,0.31520867,0.049058262,0.42863515,4.1918473,0.5576889,0.12350349,0.7018603,0.31255686,0.052085765,0.5676488,0.36957678,0.81562716
14,0.010910348,0.010940251,0.3324551,1.1264417,1.4354277,0.19913082,0.4534508,0.014321141,0.1254804,2.0266976,0.81752384,0.19660054
15,0.32413653,0.0074604643,2.4288578,0.16624016,0.22447132,0.59819996,0.2158045,0.70543957,1.1788291,0.07363866,0.31602192,0.0055007865
16,0.007490701,0.054097418,0.8959012,0.018168103,0.24309549,1.0833933,0.013669237,0.5722701,0.041302025,2.0305066,0.05663134,0.53935325
17,0.008940801,0.015172048,0.41554636,0.15530203,1.8683053,0.3960953,0.0041157627,1.8601694,1.6665184,0.26242337,0.16804911,0.99844414
18,0.004722648,0.0031508417,0.5511967,0.0105599845,0.88614666,0.481091,1.5583392,0.2694655,0.018681996,0.7009264,0.8019447,0.0016616195
19,0.09890913,0.3217637,0.34566373,0.085830785,1.811878,1.6950744,1.5836902,0.67518747,0.03524014,0.19064265,0.05481602,0.3295254
20,0.0052425866,0.011020258,0.13937026,0.0075472146,0.51816183,0.09857981,1.9648968,0.0092523135,0.013958559,1.8986825,1.0146235,0.773302
21,0.025105575,0.002376355,0.46505606,0.63127846,1.6112827,0.8042845,0.0076969606,1.2814232,2.4086065,0.29256627,0.556525,0.0015332756
22,0.018647017,0.0048333313,0.17426318,1.0401597,0.6246595,0.22309293,0.22861728,0.02126015,0.41837043,0.6270468,1.7454513,0.1117796
23,0.0099410545,0.020035971,0.44448814,0.4084625,0.5493401,1.9209168,0.13783877,0.07043417,0.101888984,0.1607157,0.64315283,0.9609
24,0.010317828,0.002850861,1.5315485,0.6264684,0.021771807,1.0291435,1.457966,0.24378136,2.8315816,1.0494735,0.8916059,0.0019292103
25,0.10446175,0.51284564,1.1936815,1.6735353,0.08711862,0.19384266,0.09610057,0.32979944,2.2991025,0.14785412,1.3009129,0.5633629
26,0.19351773,0.0017253843,1.3927987,2.0343056,0.015758798,0.91002077,0.0064997016,1.2962533,0.02006265,0.73387986,0.92909515,0.0019095492
27,0.008539301,0.01564367,0.6253755,0.013237578,0.2472966,0.9751341,0.011724499,0.01778297,1.2590857,0.6317789,1.2190012,0.4995003
