,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Ventricular Cardiomyocyte,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell
0,0.020800175,0.27260426,0.21643496,0.6222154,0.11837643,0.22684602,0.28711316,0.07555891,0.00071082474,0.1349008,0.21116477,0.20194216
1,0.0052076117,0.8808453,0.1949328,0.061415207,0.078581154,0.7065812,0.58750725,0.32195836,0.0012194967,0.049261726,0.5357278,0.15024464
2,0.0040336642,0.5060879,0.025780106,0.0038930133,0.85071087,0.27864942,0.3858207,0.23881869,0.0012397887,0.22227398,0.003696744,0.06873646
3,0.011607969,0.4906008,0.0053255446,0.33346313,0.3670549,0.0070613646,0.33694285,0.16844615,0.00049447117,0.0004838907,0.37342173,0.010108015
4,0.020455196,0.7660706,0.4231534,0.2587814,0.001869144,0.005232059,0.5098706,0.527715,0.0007175711,0.0006486623,0.07903005,0.10358723
5,0.0005242335,0.00083797856,0.22911142,0.70394796,0.40088373,0.022753494,0.04580322,0.3789424,0.0007937809,0.0007538299,0.24965163,0.1590868
6,0.0008068738,0.22071801,0.039928954,0.014902284,0.5584329,0.0068522114,0.2244179,0.25913426,0.0008036785,0.5954311,0.69265205,0.005098145
7,0.004376377,0.087688185,0.0029130909,0.52120733,0.047908053,0.40944532,0.001052914,0.27777708,0.0007352807,0.22950721,0.5663299,0.0034446097
8,0.00014918482,0.00044674508,0.22760017,1.1673794,0.22850588,0.12707701,0.33229893,0.13068174,0.00044451535,0.0878229,0.30191204,0.006889197
9,0.0014820762,0.49236166,0.028527614,0.2868795,0.0036720042,0.7204386,0.3249422,0.0037324796,0.0009390159,0.081544444,0.21374972,0.2854885
10,0.005073671,0.3707537,0.09731351,0.2520817,0.09270143,0.35605046,0.40980896,0.6661787,0.00068503205,0.15214407,0.24127787,0.1143163
11,0.0014609307,0.32245824,0.63324493,0.253687,0.015891973,0.010869633,0.013461139,0.04351855,0.0011034315,0.17023101,0.061338298,0.18981741
12,0.0038046823,0.49935067,0.37184986,0.40359622,0.6222918,0.20832822,0.24280293,0.27583668,0.0015520445,0.36168006,0.015258803,0.11451002
13,0.0003887494,0.00050048315,0.009880787,0.45935795,0.045531157,0.6525535,0.011705269,0.43958214,0.0005722661,0.0003598262,0.44665188,0.31699648
14,0.0006919996,0.17715462,0.17653824,0.41489753,0.017309409,0.03660647,0.14095451,0.09682683,0.0003041273,0.33919275,0.8725627,0.14245091
15,0.00080548425,0.2840364,0.003600341,0.393411,0.22291966,0.6691483,0.6269639,0.0021493533,0.0005189757,0.9570483,0.04400298,0.004777882
16,0.0013267709,0.06132236,0.12317396,0.12990518,0.48431042,0.014455173,0.7151857,0.2931333,0.001146849,0.0614732,0.025390454,0.32016718
17,0.0016316447,0.25334102,1.2884327,0.05368896,0.19672903,0.48690984,0.47199136,0.33471504,0.0012341618,0.2664184,0.5637656,0.10234233
18,0.0020096703,0.2675085,0.022337606,0.2973417,0.2695294,0.0053819204,0.08218353,0.24414983,0.0010978212,0.85752267,0.5574855,0.16874425
19,0.00036176032,0.0006868477,0.14955117,0.16341612,0.46536088,0.5697501,0.07410373,0.17555802,0.00064163486,0.34012726,0.42197058,0.40137634
20,0.000634998,0.15440513,0.21442105,0.01328852,0.0013347169,0.32313716,0.20017351,0.6795352,0.00048574584,0.15609348,0.005580779,0.093493074
21,0.0002532287,0.00026963718,0.24694847,0.0056837304,0.6550627,0.3279665,0.005685381,0.19038162,0.0002626755,0.07834921,0.005125921,0.29784468
22,0.037933856,0.00925469,0.25541478,0.53939736,0.0022728024,0.49285913,0.0014538777,0.3446965,0.00057814183,0.20695756,0.25754938,0.006491286
23,0.00028498776,0.0006840838,0.6403026,0.25277814,0.009166315,0.0839477,0.41948646,0.81005555,0.0007664975,0.68733627,0.16007732,0.2889934
24,0.0047173263,0.54104304,0.73587847,0.47783288,0.008247196,0.8432606,0.052612018,0.06105299,0.00039979874,0.00068136136,0.41991347,0.0066189994
25,0.0009639061,0.35826507,0.10816547,0.8649442,0.03559274,0.12273894,0.48823446,0.17605214,0.00078405207,0.15365271,0.56637526,0.44504395
26,0.0036690193,0.31199706,0.00210938,0.1504807,0.22427127,0.3340554,0.0010310429,0.24713582,0.0006868431,0.31798896,0.21862845,0.0033137638
27,0.0009963053,0.031702273,0.21261732,0.2833573,0.0011188361,0.002257402,0.0029295066,0.63449544,0.0004197302,0.49801275,0.0039042574,0.6329456
28,0.008541272,0.36108637,0.013629929,0.67130464,0.20221666,0.16466181,0.0010899905,0.16975461,0.00053599494,0.36812383,0.13454844,0.105888136
29,0.03561646,0.5195714,0.018855562,0.008362104,0.21244924,0.2813743,0.63907665,0.23039389,0.0012880944,0.21315667,0.16898459,0.35010386
30,0.07601077,0.5254341,0.3007678,0.21842654,0.2728499,0.12735589,0.0035034271,0.18797944,0.0015089706,0.42936152,0.011108774,0.501879
31,0.00082828215,0.0012822452,0.033192664,0.04956307,0.381107,0.022547347,0.056441292,0.034701142,0.000525459,0.77891576,0.18056431,0.7757106
32,0.00049733283,0.00037289943,0.26427668,0.65275913,0.006816172,0.016301606,0.18426223,0.5638597,0.0005022611,0.11578257,0.77688295,0.2804603
33,0.023907611,0.19378605,0.4130279,0.035693616,0.40286908,0.5521683,0.015134597,0.13715854,0.00076915306,0.06842088,0.1888646,0.19154756
34,0.0031772514,0.40628576,0.30157888,0.08598621,0.070612766,0.50236,0.0023552682,0.18861516,0.0007701689,1.1243833,0.11660873,0.08601148
35,0.00076782674,0.13345833,0.0042935433,0.28919238,0.08928794,0.0084381215,0.29219136,0.33013406,0.00086292694,0.65629816,0.0076046414,0.45549804
36,0.0022813536,0.24367781,0.17792377,0.5580562,0.39750436,0.010825565,0.63430655,0.08897684,0.0010703026,0.27239233,0.22142759,0.46061024
37,0.020493595,0.5811668,0.48907748,0.02263168,0.08239781,0.27219775,0.005105424,0.014727236,0.0004675083,0.0013827452,0.32543576,0.45154753
38,0.12661372,0.05299426,2.0813525,0.4176983,0.05817839,0.24163997,0.69222516,0.023902653,0.0037742837,2.6427271,0.10367117,0.008588579
39,0.003982953,0.14455394,0.029782515,0.3164252,0.043882772,0.2623955,0.1103682,0.076995715,0.00035072476,0.23678961,0.8125424,0.007732867
40,0.00036394817,0.12888345,0.009677831,0.3714107,0.26477167,0.16241568,0.82493967,0.0019395214,0.0008098355,0.10837131,0.5885564,0.48224968
41,0.0010306175,0.2920854,0.020593425,1.1005965,0.46110874,0.35916606,0.20924884,0.35175696,0.00048955495,0.003130312,0.23650375,0.099975616
42,0.00030973874,0.00036691356,0.5426426,0.15525776,0.043639816,0.008841404,0.006757401,0.594459,0.00038055604,0.12136632,0.5053065,0.26738378
43,0.0013198087,0.26782244,0.22035119,0.46437111,0.13839112,0.4400747,0.005767013,0.046667527,0.0009041414,0.04524105,0.52512646,0.34462458
44,0.007906594,0.45443332,0.4023371,0.41663826,0.003677772,0.17604151,0.062807746,0.07834729,0.00086116866,0.33537683,0.19687694,0.2252624
45,0.0016714695,0.15198933,1.0958589,0.21928547,0.04405736,0.58121085,0.032216564,0.0914144,0.0011353852,0.19152361,0.008026926,0.005954724
46,0.0015832701,0.15985842,0.1839856,0.09709576,0.004208693,0.008216106,0.99720746,0.21154153,0.0010607115,0.00068497914,0.642315,0.44978794
47,0.00071557064,0.11658137,0.084859595,0.19636337,0.006775512,0.12070861,0.629445,0.47400203,0.00059523794,0.0009772009,0.07595997,0.25741678
48,0.0014046214,0.12240562,0.16529088,0.010815097,0.98425853,0.75629234,0.25586924,0.0021098368,0.00039292878,0.28573918,0.35229093,0.24377497
49,0.0014811651,0.43585232,0.013103751,0.3124141,0.06942043,0.0066625103,0.460629,0.34092462,0.00028113945,0.00059780414,0.99705505,0.35050854
50,0.001267854,0.23506807,0.05011778,0.006875007,0.25758678,0.5204472,0.54607743,0.0023205522,0.0005577704,0.40404266,0.23606613,0.15231988
51,0.0029126212,0.14182284,0.0013704589,0.002528971,0.14448428,0.7863253,0.000824313,0.36594108,0.00035302475,0.23269306,0.09835804,0.0040765824
52,0.01290275,0.86111295,0.35870716,0.35772046,0.121403284,0.03472027,0.0021481488,0.1631818,0.00055704155,0.000659242,0.46530426,0.006146548
53,0.0002608427,0.00047023513,0.40616614,0.028238164,0.43914124,0.37342685,0.5706708,0.5222841,0.00043792935,0.17699863,0.15698808,0.2589969
54,0.0027547604,0.21411233,0.25019348,0.18517497,0.0050977487,0.34410343,0.62329805,0.6148384,0.0006624425,0.2565299,0.17979419,0.11986694
55,0.00029946794,0.0007433999,0.82648075,0.8423484,0.0020603982,0.081786245,0.83188426,0.15970714,0.0007220169,0.4608345,0.005342045,0.0033872388
56,0.093920685,0.94191676,0.31290415,0.06425146,0.0014417379,0.03587806,0.07224174,0.4130229,0.0011865917,0.20599703,0.00822642,0.4087893
57,0.00087895116,0.052244045,0.0027634175,0.0017312388,0.0744421,1.0927515,0.14927411,0.6075099,0.0005701286,0.30162272,0.0021110151,0.16200744
58,0.0012085874,0.40562436,0.18864939,0.21630454,0.52342004,0.09410757,0.2575115,0.2611739,0.0011039646,0.4550435,0.9783444,0.15263139
59,0.05489918,0.51222926,0.050945498,0.2601837,0.058861274,0.081181094,1.0357102,0.23140079,0.0035250934,0.11919761,0.32993698,0.10858199
60,0.0014621292,0.21152672,0.016848614,0.8340465,0.50413567,0.2907748,0.0014437606,0.082107626,0.00025113768,0.123113185,0.017560111,0.4059825
61,0.69821274,0.16037302,0.04525649,0.23564312,0.0052692397,0.975117,0.7836036,0.0029606593,0.0009665866,0.35878986,0.22482061,0.13721171
62,0.00025424798,0.00025959243,0.008915665,0.9490566,0.8290045,0.043751772,0.18582526,0.0008832896,0.0007358915,0.18937445,0.2647136,0.008720161
63,0.0004136538,0.00078612374,0.6268225,0.03805702,0.1739014,0.23258217,0.30763742,0.0028659638,0.00064841885,0.0006165727,1.0465392,0.29562882
64,0.00049663143,0.1682165,0.0062321187,0.060780033,0.16951855,0.0078394925,0.67453784,0.15112662,0.00058996107,0.2774822,0.28165087,0.22607298
65,0.0012396298,0.2993416,0.0012662836,0.12894537,0.43271816,0.0027330457,0.00092530943,0.07536511,0.00048668208,0.26476625,0.32333827,0.4130793
66,0.0019747561,0.4371017,0.10601053,0.4591296,0.33608487,0.6984499,0.335353,0.2824131,0.0007103593,0.00074558443,0.22682704,0.15160376
67,0.029852847,0.13673069,0.00779462,0.16118099,1.0964679,0.18871312,0.46050188,0.24602726,0.0009466643,0.26266038,0.012342063,0.07926968
68,0.0033128585,0.0927723,0.22473703,0.018243507,0.13059722,0.06980375,0.013124057,0.19470662,0.0014005903,0.4236402,0.30013406,0.26211396
69,0.00079586735,0.14828353,0.21385361,0.55423033,0.10862341,0.8877191,0.0057988907,0.10370565,0.007086688,0.7614281,0.10514905,0.26911837
70,0.035710905,0.011168901,0.24206196,0.3534366,0.17082481,0.57046586,0.52971894,0.0870114,0.001288738,0.1896972,0.14265478,0.09026278
71,0.00090766593,0.30454224,0.013748456,0.30482695,0.18269505,1.084837,0.48063925,0.46262306,0.0003478286,0.0007560657,0.43325827,0.24338943
72,0.0013224717,0.6349724,0.16697009,0.31650728,0.33426797,0.14979176,0.004220305,0.40459093,0.0010242008,0.12113988,0.16084848,0.5137672
73,0.0024695918,0.22138697,0.11477601,0.030286785,0.0071583786,0.62794805,0.3519526,0.5807407,0.0008532642,0.80430645,0.004093063,0.114936166
74,0.0017039904,0.2665343,0.55072206,0.73238444,0.43512905,0.36352783,0.10597386,0.0026103691,0.0015589248,0.31214148,0.011743521,0.08173431
75,0.0016120351,0.4988302,0.006840437,0.3399566,0.13334282,0.009108838,0.4333656,0.58739716,0.002022315,1.4099851,0.26502576,0.1810263
76,0.03175756,0.02497374,0.46085048,0.006888294,0.16931622,0.5787089,0.42438814,0.22655594,0.001271391,0.17821445,0.0038094576,0.13123766
77,0.0011531855,0.06640634,0.32431394,0.6306057,0.80487657,0.2268897,0.026912993,0.0026880545,0.0013386231,1.1530203,0.70327425,0.06794684
78,0.0007832407,0.1256716,0.35072324,0.54512095,0.2917949,0.25891897,0.028437689,0.025362503,0.0010819209,0.6811263,0.291299,0.46992925
79,0.0021079527,0.3628589,0.018070588,0.06252294,0.6101472,0.005031546,0.45011732,0.5286567,0.0003847529,0.0007390862,0.40940133,0.5090664
80,0.0006136744,0.1340042,0.19977091,0.0494106,0.00142742,0.9401075,0.16320771,0.20246877,0.0009925454,0.70860666,0.0024650325,0.56853503
81,0.00077724893,0.15646869,0.502521,0.016855158,0.79845184,0.005410851,0.8438647,0.59427726,0.0005523248,0.002216968,0.43872738,0.13729179
82,0.0012546909,0.57657975,0.63347083,0.008747237,0.002133909,0.35398883,0.302999,0.4608973,0.0007171093,0.13235228,0.24789578,0.007649485
83,0.00069093675,0.2556704,0.3415146,0.23064852,0.038740717,0.28379652,0.02355716,0.8299309,0.0010549949,0.006654567,0.20906949,0.4224891
84,0.0002384649,0.020826947,0.41635716,0.13774179,0.0018977784,0.14505452,0.0009028958,0.24770546,0.00022936687,0.0002724731,0.8199037,0.0022147498
85,0.017886661,0.22401774,0.07351726,0.65306133,0.0061419117,0.011937467,0.07916216,0.10251221,0.0016165021,0.19783175,0.41847485,0.3439704
86,0.015810587,0.29447502,0.24338356,0.13020554,0.0023351589,0.17111947,0.0022087912,0.27514467,0.00070391974,0.29851928,0.3295041,0.4276573
87,0.0012636996,0.09026867,0.01190441,0.31931016,0.34639886,0.061931323,0.5026643,0.08777338,0.00038699462,0.08901519,0.9642987,0.028025901
88,0.0011491535,0.43693587,0.014250177,0.08215315,0.008677451,0.120468244,0.35186562,0.63969415,0.0005808226,0.22009876,0.38810298,0.060215987
89,0.0012032463,0.4886102,0.0752832,0.43347755,0.0035645794,0.45269573,0.077916116,0.07696103,0.002157766,0.3145367,0.4013941,0.4000359
90,0.0014103862,1.1348331,0.360275,0.3786534,0.31115746,0.012360633,0.0923264,0.20100063,0.0011157226,0.1588981,0.65346795,0.27776188
91,0.007082817,0.044367045,0.004839913,0.14104731,0.063229114,0.45233512,0.03734108,0.0012186441,0.0012073269,0.31183934,0.4812528,0.19667001
92,0.00032611535,0.00077839976,0.2554472,0.22115497,0.8283739,0.4367636,0.3273797,0.20177613,0.00083193544,0.48140037,0.31789148,0.71883386
93,0.94799715,0.4362081,0.12195038,0.20222703,0.085558556,0.6214987,1.1000856,0.13725942,0.0016386666,0.09356961,0.21657419,0.006107141
94,0.006646628,0.45927995,0.012300217,0.0027353864,0.00087109645,0.03533423,0.24966355,0.5667467,0.00071418897,0.97515047,0.48014018,0.0025682095
95,0.001729343,0.23148175,0.6261151,0.03987409,0.29298586,0.07872131,0.017985055,0.28008825,0.0004383732,0.25033498,0.0066354414,0.12668195
96,0.004181824,0.26302943,0.0021025897,0.10220937,0.15695053,0.037041627,0.063392945,0.03851098,0.00031465816,0.5553226,0.7390563,0.45620158
97,0.00063730095,0.19696006,0.17151627,0.008368967,0.26431078,0.45949116,0.00302829,0.18949637,0.000390435,0.20136444,0.97467124,0.19525069
98,0.3180245,0.11063308,0.020211129,1.2143627,0.23748581,0.22580008,0.026161509,0.071500525,0.0007183662,0.30198714,0.06477659,0.312092
99,0.0056027714,0.27386263,0.24052073,0.24200465,0.17439218,0.0045926007,0.0020941172,0.47055718,0.00078435196,0.75061184,0.100599945,0.0029394173
100,0.0008474926,0.33335805,0.24154842,0.50871843,0.22984977,0.010574608,0.8190413,0.4474395,0.0009082443,0.0009176825,0.3659154,0.0080538215
101,0.0141114965,0.00061944575,0.035356868,0.7867283,0.054042052,0.0032100615,0.17338927,0.26611444,0.0013143732,0.51130885,0.0057982737,0.48657724
102,0.0014709684,0.14102092,0.078600414,0.002140103,0.0015427123,0.18384531,0.5133363,0.4491131,0.00091965677,0.81786036,0.70728135,0.0050488706
103,0.0004366074,0.00053080876,0.3087814,0.36214364,0.16241051,0.09743339,0.29516897,0.36026105,0.0006778861,0.21555975,0.2749771,0.7439531
104,0.0004231109,0.00029309277,0.13578795,0.21396174,0.055040203,1.0900804,0.13600178,0.09428349,0.00040473646,0.39509824,0.026202928,0.18648614
105,0.038602352,0.034795485,0.31650248,0.18220362,0.49045742,0.04966188,0.6914462,0.0038656234,0.0006846967,0.14941587,0.49902973,0.5370498
106,0.0003456037,0.033932086,0.40718567,0.0024165278,0.003410818,0.0021898674,0.0016550218,0.0005785605,0.0010445749,0.66666025,0.72446185,0.14851496
107,0.0062244567,0.64150226,0.05761279,0.682866,0.20613353,0.0060079168,0.71927553,0.0030384033,0.0009005855,0.18756211,0.13068189,0.67579573
108,0.0025408096,0.43847784,0.22497877,0.37146407,0.005604579,0.077314064,0.0048295497,0.5588886,0.0006473208,0.16648029,0.71040386,0.17606024
109,0.0008621376,0.68853503,0.008788117,0.7295681,0.3188009,0.18549235,0.0018328545,0.04300217,0.00048480555,0.04858985,0.003674915,0.3882397
110,0.001511357,0.00088444713,0.79986554,0.48996073,0.23743284,0.16974728,0.05302941,0.0029883923,0.00034546433,0.38115466,0.19833249,0.6369857
111,0.0009918393,0.17771062,0.12825768,0.5151206,0.43063244,0.28472668,0.4664319,0.08688858,0.00061244785,0.20779556,0.014737591,0.2306651
112,0.0002240098,0.000515837,0.6247059,0.1385486,0.08019615,0.10995776,0.060049072,0.40943164,0.00029109346,0.0007326601,1.329288,0.14278604
113,0.0009274,0.0013642588,0.6012338,0.15030976,0.07887342,0.59294665,0.07949212,0.15068613,0.0011907389,0.30585566,0.26011375,0.8164568
114,0.0032647755,0.169936,0.17878674,0.12677738,0.042155378,0.374951,0.15606484,0.24057686,0.0007068805,0.046038836,0.7652913,0.37449092
115,0.00024209359,0.00033712664,0.36404935,0.29193783,0.47673434,0.33271545,0.005050388,0.2550575,0.00058581826,0.30433992,0.21724455,0.004832621
116,0.0026079307,0.08413969,0.004778857,0.004641845,0.070214264,0.167277,0.25000864,0.0011280375,0.01909367,1.3640995,0.16018341,0.7728396
117,0.0002926472,0.0011693985,0.736499,0.123348385,0.26960087,0.6744689,0.14412178,0.16439986,0.0027490815,0.7781083,0.11056028,0.03541703
118,0.0007633001,0.17998736,0.2675837,0.09239854,0.58894074,0.20655501,0.60102797,0.13491382,0.0006429058,0.0011736491,0.11738106,0.55627924
119,0.0007406949,0.2930526,0.020820288,0.11611942,0.15753974,0.36765927,0.0017975344,0.07684434,0.00031910787,0.17356627,0.71616226,0.49805227
120,0.0016366679,0.0005656902,0.69366264,0.14376976,0.26095873,0.039029688,0.505724,0.004054414,0.0006592015,0.3394078,0.7564867,0.0077784774
121,0.0050459774,1.0540348,0.44668645,0.10115,0.40575802,0.24959406,0.003100419,0.1871865,0.0005887655,0.16920124,0.014960621,0.12618998
122,0.0006277563,0.00068838993,0.10884262,0.60473067,0.34089115,0.02709898,0.39094096,0.07392114,0.00089790317,0.3920606,0.27388132,0.4562905
123,0.0077865063,0.07637487,0.6841286,0.004580962,0.34671488,0.21939248,0.0034182945,0.01166237,0.0021909124,0.68264,0.007261088,0.004607749
124,0.0012782096,0.15605678,0.78727126,0.34662068,0.11725264,0.21275356,0.0062098647,0.120760895,0.0012594172,0.17619774,0.024130723,0.29488996
125,0.0013777055,0.21965575,0.18945116,0.027390571,0.007283253,0.22850263,0.56003666,0.31786656,0.087669075,0.8426682,0.29901993,0.11052361
126,0.024510771,0.3334985,0.06614168,0.5760976,0.008759469,0.32881233,0.3495526,0.3785077,0.0012936749,0.11062227,0.77920985,0.2660203
127,0.00034065693,0.0005455719,0.45072716,0.2493406,0.6289663,0.21574914,0.20201018,0.26353672,0.0019082011,0.48588803,0.14966059,0.08705169
128,0.00041462405,0.001012533,0.018773766,0.29980078,0.15628663,0.8733015,0.8313163,0.42827404,0.00087992055,0.36335123,0.6647167,0.3460284
129,0.0005981623,0.08449803,0.5379171,0.4105622,0.45581666,0.010582154,0.050774943,0.34409845,0.0004426309,0.074974425,0.015821049,0.17913857
130,0.03961007,0.00275962,0.01455966,0.40215167,0.0027536564,0.10172369,0.4964521,0.27969477,0.000895726,0.947025,0.14795871,0.80566037
131,0.00093213486,0.053076632,0.23822275,0.6890606,0.003135132,0.0033272717,0.016878823,0.26967296,0.0004819416,0.2263541,0.0031436887,0.3174816
132,0.006029642,0.122051045,0.5683616,0.44032782,0.057924636,0.43639523,0.67190725,0.003834219,0.0017634352,0.43340147,0.62938005,0.11347956
133,0.0017882204,0.4512472,0.21023482,0.011125616,0.1728859,0.27295524,0.10549385,0.41147402,0.00039521258,0.0016194956,0.7814381,0.3302988
134,0.0017729837,0.83874834,0.10142368,0.018012183,0.2532936,0.021916892,0.65159905,0.28822848,0.00087730476,0.060659576,0.004383887,0.40177447
135,0.00089977315,0.17862594,0.057868395,0.5875666,0.016241904,0.08580007,0.22062841,0.0012230132,0.0026460828,0.83363396,0.3379165,0.3318722
136,0.00049374945,0.126193,0.006753757,0.8137647,0.14826825,0.26967242,0.002209782,0.23971742,0.00036386104,0.32702798,0.0055523957,0.010532574
137,0.08680037,0.06509919,0.83911383,0.34892836,0.16552146,0.23816724,0.10305982,0.24270736,0.00060855,0.0007153436,0.6501589,0.31562892
138,0.0008803758,0.09249936,0.1982926,0.50572443,0.10011167,0.594189,0.0052779713,0.12474058,0.0018277577,0.60128886,0.2905023,0.60624284
139,0.0017299883,0.22050568,0.41376564,0.32960528,0.0026051777,0.0038255875,0.0020089557,0.5977674,0.0003918561,0.00061735336,0.3326469,0.36743522
140,0.00039688428,0.046239797,0.7990034,0.0057422966,0.29494634,0.3350216,0.047157828,0.0012074437,0.0006925622,0.0014756601,0.23628858,0.06788816
141,0.003290403,0.78260016,0.45081472,0.16262548,0.4402383,0.090731025,0.32486925,0.15288493,0.001069842,0.1836899,0.7217625,0.29644328
142,0.87097913,0.5780183,0.521271,0.18970159,0.3628111,0.01631088,1.3243047,0.16617675,0.0025528679,0.042975683,0.6567797,0.15243095
143,0.0030921837,0.18675573,0.63515294,0.008665949,0.0013422731,0.27335405,0.7281731,0.16240971,0.0012266424,0.38580796,0.11399356,0.005457019
