,endothelial cell,astrocyte,oligodendrocyte,microglial cell,vascular associated smooth muscle cell,inhibitory interneuron,pericyte,glutamatergic neuron,radial glial cell,oligodendrocyte precursor cell,neural progenitor cell,medial ganglionic eminence derived interneuron,caudal ganglionic eminence derived interneuron
0,1.32021105e-05,0.086772144,5.653533e-06,0.11021969,0.11096963,0.14420201,0.11454378,3.5728728e-05,0.13838248,3.6112453e-06,0.006509825,0.1512892,0.13705303
1,1.3192759e-05,0.08676233,5.6452354e-06,0.110227086,0.11096796,0.14420155,0.11454288,3.5692934e-05,0.13838433,3.6068293e-06,0.006511112,0.15128607,0.13705854
2,1.3188389e-05,0.08673524,5.6492777e-06,0.11018226,0.1109606,0.14423202,0.11454395,3.5691795e-05,0.13839072,3.6083136e-06,0.006507167,0.15132098,0.13706896
3,1.3215785e-05,0.08675581,5.66662e-06,0.11017971,0.11096072,0.14422345,0.114553176,3.577146e-05,0.13838308,3.6189351e-06,0.006509737,0.15131392,0.13706209
4,1.3171745e-05,0.086730234,5.63726e-06,0.110220075,0.11096415,0.14422219,0.11453303,3.5619163e-05,0.1383981,3.5978194e-06,0.006504565,0.15131214,0.13705747
5,1.3182673e-05,0.08670159,5.6475187e-06,0.11014541,0.11094981,0.14425993,0.11454996,3.5661968e-05,0.13840084,3.606788e-06,0.006502983,0.15135032,0.13708115
6,1.3190367e-05,0.08673871,5.650384e-06,0.110190816,0.11095987,0.14422847,0.11454401,3.569667e-05,0.13839056,3.6092372e-06,0.006507934,0.15131536,0.13706607
7,1.3201174e-05,0.086795546,5.651358e-06,0.11026423,0.11098354,0.14417446,0.11453724,3.5723056e-05,0.13837789,3.6069825e-06,0.0065127937,0.15125243,0.13704373
8,1.3184716e-05,0.086728364,5.6447657e-06,0.11018524,0.11095814,0.14423466,0.11454507,3.567172e-05,0.13839093,3.606143e-06,0.006507285,0.15132193,0.13707021
9,1.319028e-05,0.08669534,5.651662e-06,0.11014919,0.11094663,0.14426307,0.1145515,3.5672616e-05,0.13839826,3.6091824e-06,0.006502822,0.15135448,0.13708057
10,1.3184438e-05,0.08672913,5.644097e-06,0.110197335,0.11095995,0.14422828,0.11454479,3.565736e-05,0.13839234,3.604035e-06,0.006506518,0.15131782,0.1370658
11,1.3151688e-05,0.08667357,5.6258477e-06,0.110159874,0.11093953,0.14427145,0.114541814,3.556357e-05,0.13840625,3.595422e-06,0.006500965,0.15136312,0.13708545
12,1.3171152e-05,0.08667739,5.642826e-06,0.110159665,0.110942595,0.14427078,0.11454464,3.5608628e-05,0.13840625,3.6019521e-06,0.0064998413,0.15136304,0.13707776
13,1.3199199e-05,0.08676403,5.6513973e-06,0.11021313,0.110967316,0.14420721,0.11454328,3.5721736e-05,0.13838336,3.6096917e-06,0.0065099597,0.15129614,0.13705745
14,1.3184711e-05,0.08674825,5.643143e-06,0.11021962,0.11096536,0.14420925,0.11454462,3.5669254e-05,0.13839056,3.604254e-06,0.006509249,0.15129423,0.13706079
15,1.3131789e-05,0.086655945,5.604621e-06,0.11014238,0.110937946,0.14428407,0.11453414,3.5494562e-05,0.13840587,3.5833602e-06,0.006498288,0.15138583,0.13709779
16,1.3193237e-05,0.0867047,5.6567246e-06,0.11013636,0.11094689,0.14426252,0.11455378,3.5702396e-05,0.13839604,3.6132083e-06,0.0065040374,0.15135598,0.13708152
17,1.318935e-05,0.086744286,5.648543e-06,0.11021348,0.11096184,0.14421847,0.114544965,3.5684665e-05,0.13838756,3.6069637e-06,0.0065075154,0.15130688,0.13705687
18,1.317872e-05,0.08678539,5.630701e-06,0.110285275,0.110984705,0.14417051,0.11453229,3.565478e-05,0.13837853,3.5972917e-06,0.0065116636,0.15124986,0.13704376
19,1.3205202e-05,0.08676202,5.6566964e-06,0.1101893,0.110966526,0.14421594,0.11454935,3.5743087e-05,0.13838363,3.6132758e-06,0.006509314,0.15130027,0.13706543
20,1.3204416e-05,0.086722635,5.6631766e-06,0.11014095,0.110950395,0.14425297,0.11455569,3.5747034e-05,0.13839215,3.6177228e-06,0.0065063946,0.15134418,0.13707645
21,1.3185679e-05,0.08670459,5.650498e-06,0.11013947,0.11094908,0.14426199,0.11454934,3.5676294e-05,0.13839763,3.6090348e-06,0.0065046493,0.15135041,0.13708471
22,1.3202253e-05,0.08673793,5.6584704e-06,0.110177286,0.11095875,0.14423291,0.11454934,3.572645e-05,0.13838772,3.6133513e-06,0.0065070456,0.15131827,0.13707255
23,1.3205563e-05,0.08677488,5.653636e-06,0.11024111,0.11096734,0.14419799,0.11454551,3.574502e-05,0.13838138,3.6111321e-06,0.0065096803,0.15128198,0.13704191
24,1.3202695e-05,0.08673059,5.6594204e-06,0.110163935,0.110955074,0.14424022,0.114553,3.5729725e-05,0.13839059,3.614541e-06,0.0065069078,0.15133148,0.13706997
25,1.3188589e-05,0.08670941,5.650646e-06,0.11015273,0.11095286,0.14425322,0.114544764,3.567954e-05,0.13839667,3.609387e-06,0.0065060505,0.1513455,0.13708064
26,1.3197599e-05,0.08672478,5.656686e-06,0.11016411,0.11095225,0.14424555,0.11455096,3.570807e-05,0.13839124,3.6132005e-06,0.0065060337,0.15133499,0.1370719
27,1.319226e-05,0.08673602,5.651184e-06,0.11019083,0.110961094,0.14422834,0.114544906,3.569226e-05,0.13839251,3.6090428e-06,0.0065069036,0.15131736,0.1370639
28,1.3196995e-05,0.086761326,5.6543768e-06,0.11021035,0.11096711,0.14421009,0.11454782,3.571338e-05,0.1383855,3.6096044e-06,0.0065086153,0.15129638,0.13705467
29,1.3191757e-05,0.086699255,5.6548124e-06,0.110140294,0.11095051,0.14426163,0.11455058,3.5697067e-05,0.13839757,3.6123279e-06,0.006503874,0.15135403,0.13708407
30,1.317685e-05,0.086672485,5.646925e-06,0.110150985,0.110940225,0.14427334,0.1145462,3.5617577e-05,0.1384088,3.6035963e-06,0.006500116,0.1513673,0.1370825
31,1.3213094e-05,0.086730234,5.6705635e-06,0.11012807,0.11095116,0.14425415,0.1145594,3.57754e-05,0.13838851,3.6227596e-06,0.0065069427,0.1513457,0.13707751
32,1.3198721e-05,0.08675577,5.652782e-06,0.110193625,0.11096644,0.1442166,0.11454692,3.5722616e-05,0.13838406,3.6110857e-06,0.0065085995,0.15130383,0.13706599
33,1.3162639e-05,0.08669091,5.6288736e-06,0.11016422,0.11094817,0.14425951,0.114543974,3.5591824e-05,0.13839832,3.5969888e-06,0.006502402,0.15134926,0.13708529
34,1.3146485e-05,0.086639136,5.62573e-06,0.11010126,0.11092656,0.1443086,0.11455199,3.553628e-05,0.13841547,3.5946853e-06,0.00649658,0.15139885,0.13710366
35,1.3200603e-05,0.08673754,5.654284e-06,0.11018976,0.11095798,0.14422755,0.11454904,3.570751e-05,0.13839059,3.6104334e-06,0.0065078223,0.15131822,0.13706332
36,1.3195621e-05,0.086756736,5.6558374e-06,0.11018687,0.1109628,0.14422311,0.11454941,3.57224e-05,0.1383875,3.610847e-06,0.0065075704,0.15130715,0.13706061
37,1.3222181e-05,0.08682091,5.6621334e-06,0.11026694,0.110989496,0.14415784,0.114540204,3.5794368e-05,0.1383677,3.616318e-06,0.006516378,0.15124264,0.13703956
38,1.319063e-05,0.08676846,5.646731e-06,0.11023446,0.11096885,0.14419967,0.114541136,3.568537e-05,0.13838357,3.6056108e-06,0.006510188,0.15128605,0.1370495
39,1.319303e-05,0.08672829,5.6526997e-06,0.11017007,0.11095818,0.14423752,0.114550166,3.5700883e-05,0.13839327,3.6103309e-06,0.0065066856,0.15132457,0.13707313
40,1.319131e-05,0.086770676,5.647604e-06,0.11021468,0.11097229,0.1442027,0.11453916,3.5707497e-05,0.13838436,3.6070383e-06,0.0065101604,0.15128733,0.1370605
41,1.3187582e-05,0.08673567,5.6470253e-06,0.11021708,0.11096554,0.14421873,0.11454555,3.5675323e-05,0.1383896,3.6061772e-06,0.006507163,0.15130487,0.13705769
42,1.3202853e-05,0.08679375,5.651398e-06,0.11026011,0.11097736,0.14417976,0.114539005,3.573557e-05,0.1383748,3.6102567e-06,0.0065139206,0.1512605,0.1370426
43,1.319464e-05,0.086725265,5.6515887e-06,0.110167064,0.110953994,0.14424351,0.114544675,3.5691282e-05,0.13839473,3.609587e-06,0.006506365,0.15133509,0.13707115
44,1.317918e-05,0.086747624,5.637877e-06,0.110226914,0.11096816,0.14421208,0.11453707,3.5651232e-05,0.13838814,3.6003414e-06,0.0065077813,0.15129445,0.13705969
45,1.3192046e-05,0.086733066,5.65326e-06,0.11015722,0.11095365,0.14424284,0.11455212,3.5710476e-05,0.13839073,3.611446e-06,0.006505911,0.151331,0.13707532
46,1.31899305e-05,0.08673357,5.648295e-06,0.11018549,0.11096177,0.14423275,0.114544116,3.568654e-05,0.13838963,3.6079994e-06,0.0065062614,0.15131891,0.13706937
47,1.3195967e-05,0.086781435,5.6459726e-06,0.11025066,0.11097798,0.14418547,0.11453774,3.5711822e-05,0.13837664,3.6077681e-06,0.006511731,0.15126865,0.13705155
48,1.3187343e-05,0.08669405,5.6518097e-06,0.11014924,0.11094796,0.14426163,0.11454992,3.5666577e-05,0.13840179,3.6081071e-06,0.0065031275,0.15135147,0.13708268
49,1.31812985e-05,0.08671229,5.6450353e-06,0.11017271,0.11095279,0.14424802,0.11454185,3.5653626e-05,0.13839771,3.604579e-06,0.0065051764,0.15133588,0.13707542
50,1.31809e-05,0.086712,5.6439553e-06,0.11017586,0.11095395,0.1442465,0.114541836,3.564847e-05,0.13839701,3.6035356e-06,0.006504598,0.1513386,0.13707156
51,1.3177189e-05,0.08667763,5.642969e-06,0.110152766,0.110945836,0.14427005,0.114545844,3.5623085e-05,0.13840576,3.6028064e-06,0.0065008802,0.15135965,0.13708356
52,1.3189106e-05,0.08673027,5.6470967e-06,0.11019451,0.11096319,0.14422807,0.11454384,3.5675566e-05,0.13839038,3.6069725e-06,0.006506582,0.15131807,0.13706698
53,1.3179018e-05,0.08678403,5.6324116e-06,0.110315576,0.11098709,0.14416029,0.114527054,3.5634817e-05,0.13838117,3.5962544e-06,0.00651171,0.1512447,0.13703033
54,1.3180953e-05,0.08673267,5.6406793e-06,0.110207066,0.11095972,0.14422472,0.11454175,3.5654393e-05,0.13839196,3.6032166e-06,0.0065069543,0.15130946,0.1370676
55,1.3174567e-05,0.086763516,5.633604e-06,0.110257395,0.110973544,0.14419173,0.114536054,3.563981e-05,0.13838556,3.5973962e-06,0.0065099793,0.15127581,0.13704835
56,1.3208958e-05,0.08670667,5.667427e-06,0.11012508,0.11094562,0.14426705,0.114556625,3.5746645e-05,0.1383955,3.6202343e-06,0.006506018,0.15135951,0.13707963
57,1.319531e-05,0.08671366,5.6542053e-06,0.110154115,0.110951416,0.14425194,0.11454975,3.5700923e-05,0.13839427,3.612157e-06,0.006505799,0.15134549,0.13707541
58,1.3211505e-05,0.08673398,5.6670438e-06,0.11013863,0.110951826,0.14424872,0.11455481,3.5760393e-05,0.13838983,3.6203485e-06,0.006507393,0.15134108,0.13707544
59,1.3193259e-05,0.08675061,5.647151e-06,0.110218875,0.110969186,0.14421116,0.114542976,3.569592e-05,0.13838412,3.6076742e-06,0.0065096417,0.15129636,0.1370589
60,1.317546e-05,0.08671782,5.6395384e-06,0.110193536,0.110959835,0.14423652,0.114542,3.56378e-05,0.13839583,3.6016768e-06,0.006504297,0.15132387,0.13706824
61,1.3184296e-05,0.08688484,5.6248637e-06,0.11040843,0.11102046,0.14407966,0.11451761,3.568133e-05,0.13835683,3.5928877e-06,0.0065222657,0.15114725,0.13700464
62,1.3168727e-05,0.08672469,5.63117e-06,0.11021766,0.110964164,0.14422338,0.11453557,3.5608926e-05,0.13839468,3.5962846e-06,0.006506239,0.15130715,0.13706848
