,endothelial cell,astrocyte,oligodendrocyte,microglial cell,vascular associated smooth muscle cell,inhibitory interneuron,pericyte,glutamatergic neuron,radial glial cell,oligodendrocyte precursor cell,neural progenitor cell,medial ganglionic eminence derived interneuron,caudal ganglionic eminence derived interneuron
0,3.383981e-05,0.24637122,4.7023145e-06,3.604399e-06,0.105314694,0.13769713,0.11680224,0.12015317,2.6369387e-06,2.5016018e-06,0.03815362,6.166338e-06,0.23545443
1,3.296746e-05,0.405926,3.0990202e-06,2.73048e-06,0.18759848,0.05013846,0.17304723,0.13503768,2.130809e-06,2.4736557e-06,0.029747687,5.32972e-06,0.018455792
2,3.547505e-05,0.3790944,3.4714858e-06,2.9072357e-06,0.17858624,0.066437826,0.15773489,0.14162835,2.219267e-06,2.5170832e-06,0.036600534,5.5402884e-06,0.03986555
3,3.0857176e-05,0.11004814,3.9208835e-06,4.0228656e-06,0.09331727,0.21396858,0.081681885,0.16347767,2.8332863e-06,2.3191005e-06,0.12537864,6.9107464e-06,0.21207698
4,3.294974e-05,0.40750903,3.0576343e-06,2.7016545e-06,0.18992268,0.04924805,0.1692021,0.13549349,2.107755e-06,2.464786e-06,0.030390972,5.308726e-06,0.01818511
5,2.658551e-05,0.14232148,2.6988434e-06,2.9567723e-06,0.1401902,0.13789949,0.19837897,0.20973602,2.4347655e-06,2.0915684e-06,0.15158202,5.395265e-06,0.019849699
6,3.232724e-05,0.18213339,4.232883e-06,3.6502977e-06,0.10454164,0.17334576,0.111910775,0.144397,2.6373166e-06,2.3755158e-06,0.06914125,6.333681e-06,0.21447861
7,2.651369e-05,0.08250457,2.6224702e-06,3.5133896e-06,0.13032745,0.1370984,0.1802391,0.2378769,2.9100324e-06,2.2794961e-06,0.22127865,5.7616157e-06,0.01063127
8,3.266027e-05,0.21156394,4.6236996e-06,3.6664476e-06,0.09786944,0.15501256,0.106228866,0.12223789,2.6475225e-06,2.4032656e-06,0.045004845,6.257462e-06,0.26203012
9,3.447103e-05,0.38676274,3.4054397e-06,2.883638e-06,0.17688891,0.064063236,0.16440955,0.13894688,2.2092388e-06,2.4988035e-06,0.033023693,5.4358156e-06,0.03585403
10,2.6707561e-05,0.15543257,2.72924e-06,2.929876e-06,0.14282247,0.131361,0.20994593,0.20449534,2.4489566e-06,2.1481017e-06,0.1382214,5.449821e-06,0.017678827
11,3.3965483e-05,0.0708845,3.5792336e-06,4.7555363e-06,0.11839974,0.1781172,0.11001158,0.23581836,3.5348028e-06,2.6719515e-06,0.23653267,7.350046e-06,0.050180122
12,2.9800955e-05,0.37150085,2.6513617e-06,2.524695e-06,0.19459328,0.045743853,0.19960879,0.14409924,2.0701382e-06,2.3618256e-06,0.037328485,5.237469e-06,0.007080855
13,3.0733532e-05,0.28834775,2.990516e-06,2.742719e-06,0.1790825,0.0800424,0.19587022,0.17005041,2.2368056e-06,2.3594368e-06,0.06760147,5.544873e-06,0.01895858
14,3.0967774e-05,0.1923053,3.360715e-06,3.1822708e-06,0.14054309,0.14230002,0.18185242,0.18659157,2.4994386e-06,2.3436028e-06,0.10332116,5.828571e-06,0.05303827
15,2.9494448e-05,0.29112563,2.9199614e-06,2.7275264e-06,0.17326027,0.0792786,0.2139738,0.16660787,2.242217e-06,2.3305452e-06,0.058609962,5.421918e-06,0.017098688
