,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
0,0.13730772,0.11818149,0.08850257,0.1032307,0.10063127,0.07273872,0.10402811,0.09274608,0.11089653,0.07173677
1,0.1377162,0.11810144,0.08837727,0.1033171,0.1002609,0.072918855,0.1035094,0.09301728,0.1108237,0.07195787
2,0.13765533,0.11799767,0.08841969,0.10340826,0.10021659,0.07291704,0.10343399,0.0930735,0.11078117,0.07209675
3,0.13758133,0.11818695,0.08819774,0.10326322,0.10028531,0.07298006,0.10376515,0.093051955,0.11078663,0.07190169
4,0.13767272,0.118087076,0.08832019,0.10329763,0.10023385,0.07297379,0.1035863,0.09298444,0.1108437,0.072000325
5,0.13766478,0.11803211,0.0883268,0.10340732,0.10018077,0.07296056,0.10354173,0.09308555,0.1107541,0.072046265
6,0.13769719,0.11808616,0.08834708,0.10337164,0.100193195,0.07294054,0.10344079,0.09311596,0.110775396,0.07203203
7,0.13747774,0.11813385,0.08794985,0.10356273,0.10043355,0.07337568,0.1035991,0.09329426,0.11033052,0.07184273
8,0.13758156,0.11806078,0.08821952,0.10330949,0.10027435,0.073001646,0.103604205,0.093083516,0.11082534,0.07203957
9,0.13769005,0.11797954,0.088375725,0.1034832,0.100246035,0.07290098,0.10341889,0.09311328,0.11073352,0.07205874
10,0.13758603,0.1180067,0.08838947,0.103464395,0.10008611,0.07302575,0.10337263,0.09313643,0.11083911,0.07209346
11,0.13783765,0.11831655,0.088294,0.10310805,0.10010437,0.0728873,0.103659295,0.09317372,0.11079797,0.07182115
12,0.13723104,0.11818051,0.08827756,0.10315967,0.10063694,0.07304415,0.10404809,0.0927206,0.11069718,0.07200423
13,0.13727109,0.117878355,0.08801926,0.10402062,0.09977211,0.07331872,0.10349813,0.09344708,0.110610016,0.072164565
14,0.1374628,0.11797241,0.088540755,0.103317276,0.10045249,0.07288388,0.10387354,0.092792034,0.11089361,0.071811244
15,0.13786557,0.118221164,0.08798591,0.10354631,0.09997677,0.07309061,0.10333345,0.09337494,0.11056261,0.072042726
16,0.13762127,0.11805998,0.088377036,0.1032611,0.100251846,0.07302631,0.10371758,0.09279618,0.11098626,0.07190248
17,0.13761707,0.118066505,0.08834639,0.10346753,0.10015941,0.0728504,0.10352641,0.09312339,0.11077093,0.072072014
18,0.13772029,0.117996864,0.08839374,0.10335256,0.10020464,0.07293005,0.103457004,0.093064666,0.110835895,0.07204424
19,0.13744004,0.118026376,0.08818201,0.103617236,0.09994044,0.07300095,0.103662156,0.09336174,0.110580795,0.07218827
20,0.13771369,0.11799064,0.0882285,0.10357396,0.10011685,0.07303539,0.10333727,0.09319605,0.11066946,0.07213813
21,0.13793205,0.11808876,0.088294074,0.10332039,0.10041576,0.072941355,0.103534915,0.09317722,0.11049904,0.07179643
22,0.13765134,0.117971,0.08828987,0.10350258,0.1000404,0.07291929,0.10347373,0.0932905,0.11070737,0.072154015
23,0.13766082,0.11801009,0.08837031,0.10341905,0.10018285,0.07290952,0.103435345,0.09313762,0.110824086,0.072050214
24,0.13776629,0.11821047,0.08824697,0.103346765,0.10008052,0.073061876,0.10357357,0.09306663,0.11066479,0.07198208
25,0.1374952,0.11811656,0.08799698,0.10356891,0.100146346,0.0731829,0.10349669,0.093356885,0.11059216,0.072047316
26,0.13760316,0.11811601,0.08818615,0.103395,0.10042504,0.07291184,0.10370812,0.092898324,0.11077393,0.071982466
27,0.13775054,0.11800842,0.08842466,0.103248045,0.10032718,0.0728438,0.10354204,0.09292897,0.11087674,0.07204957
28,0.13769515,0.118042216,0.088441,0.10333917,0.1002477,0.07290653,0.10360377,0.0929238,0.11075615,0.07204453
29,0.13772379,0.118050545,0.08844104,0.10327088,0.10027952,0.07289393,0.103492096,0.09296529,0.11088933,0.07199365
30,0.13759042,0.11815354,0.08821335,0.103384644,0.10024846,0.07309532,0.103674345,0.093055286,0.1106351,0.071949445
31,0.13770607,0.11803049,0.088348195,0.103347845,0.10024353,0.072910905,0.10349308,0.09312488,0.11076806,0.07202695
32,0.13767727,0.11806521,0.08835255,0.10341516,0.10009371,0.07295206,0.10347953,0.09316037,0.11080258,0.07200154
33,0.13764158,0.11804563,0.08830974,0.10333588,0.1003799,0.07295438,0.10353341,0.09301042,0.11078455,0.072004445
34,0.13751577,0.11805845,0.08841489,0.10352112,0.10015174,0.07290552,0.10348281,0.09307667,0.11079086,0.07208217
35,0.13774018,0.118060045,0.088424906,0.10345762,0.10005598,0.07286211,0.103356935,0.09321103,0.11078945,0.07204171
36,0.13755329,0.118108936,0.088115975,0.10357163,0.10002828,0.07310109,0.103465736,0.09339359,0.110609554,0.07205194
37,0.13732979,0.118164934,0.08826597,0.10374216,0.0998584,0.072935455,0.10376533,0.09327321,0.110663004,0.07200175
38,0.13757706,0.11815755,0.088233784,0.10336686,0.10018582,0.07304181,0.10367817,0.09307408,0.11075224,0.071932614
39,0.13763583,0.11807633,0.088277616,0.10339139,0.10021999,0.07297632,0.1035938,0.093091965,0.110743836,0.07199295
40,0.13739483,0.11818287,0.08829037,0.1034826,0.10009098,0.07303785,0.10370735,0.09328537,0.110714644,0.071813114
41,0.13763386,0.11808585,0.08811026,0.10359656,0.100069635,0.07308085,0.10355606,0.09330649,0.110533096,0.07202739
42,0.137735,0.1180847,0.08833795,0.10329082,0.10025683,0.0729637,0.10354251,0.09304718,0.11073499,0.07200632
43,0.13755052,0.1180824,0.08822962,0.10346483,0.10017956,0.072960004,0.10351071,0.09329195,0.11071509,0.07201544
44,0.13769668,0.1181801,0.08839788,0.10303701,0.10044065,0.07293465,0.10377202,0.09272435,0.11083193,0.07198479
45,0.1377414,0.11822382,0.0883485,0.103122875,0.100328125,0.07288887,0.10376689,0.092967786,0.11078091,0.07183072
46,0.13746358,0.11801295,0.08819884,0.10354023,0.100135826,0.07307563,0.103477746,0.09328964,0.11069987,0.07210559
47,0.13748702,0.11814486,0.08813113,0.10344689,0.10025814,0.07308527,0.10363869,0.09321691,0.1105376,0.07205348
48,0.13758978,0.11806338,0.08819512,0.1035868,0.10005529,0.07298982,0.10356008,0.09334364,0.110635385,0.07198066
49,0.13764803,0.11810599,0.08831224,0.103443615,0.100199915,0.072937,0.10351264,0.093120486,0.11070808,0.07201209
50,0.13769864,0.11810303,0.08830777,0.103369184,0.10018992,0.07299755,0.103486486,0.0931161,0.11073975,0.071991645
51,0.13773142,0.11800313,0.08832225,0.10347899,0.10022125,0.07289911,0.103468254,0.09313111,0.1106848,0.07205968
52,0.13738628,0.118038476,0.08810756,0.10367206,0.099781156,0.07299611,0.1036411,0.09349767,0.11066803,0.072211474
53,0.13758874,0.11802374,0.088271365,0.103432514,0.10021625,0.072952904,0.10363308,0.09314998,0.11078306,0.07194836
54,0.13753484,0.11808911,0.08836516,0.103634976,0.10002095,0.0729953,0.103382096,0.09338325,0.110743165,0.071851194
55,0.1376652,0.11815258,0.08823716,0.10328916,0.1002517,0.072984904,0.10364756,0.09308105,0.11075797,0.071932696
56,0.13764691,0.118140824,0.08828914,0.10326346,0.10030135,0.07294774,0.10365935,0.09303041,0.11075944,0.071961455
