,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
0,0.113646924,0.104385674,0.10646703,0.09733014,0.10204445,0.12052939,0.08316569,0.09352206,0.09301033,0.0858984
1,0.11363062,0.1044155,0.10647989,0.09734217,0.102028035,0.12061123,0.08313088,0.09349009,0.092931435,0.08594015
2,0.11349704,0.10450482,0.10659476,0.09716281,0.1020252,0.12060045,0.083132744,0.093451954,0.09299032,0.08603991
3,0.11357274,0.10428549,0.10642004,0.09732617,0.101717696,0.1210488,0.08310433,0.093592174,0.092906214,0.08602637
4,0.1134759,0.10464664,0.10661673,0.09729759,0.10228423,0.12045333,0.08299796,0.09357457,0.092606515,0.08604646
5,0.11359411,0.104473114,0.10656345,0.0972469,0.101953566,0.120611794,0.08311915,0.09344056,0.09301304,0.08598434
6,0.113609895,0.10443524,0.10653607,0.097271636,0.101964444,0.12058944,0.083102755,0.093463935,0.093019664,0.08600699
7,0.11350224,0.104452714,0.10661113,0.09709681,0.1020329,0.12066264,0.08327813,0.09353624,0.0930489,0.08577836
8,0.11387126,0.10432921,0.10629953,0.09748897,0.10183193,0.120720655,0.083021194,0.0936235,0.09288889,0.085924834
9,0.11352607,0.10444731,0.106573634,0.0972139,0.101956055,0.120652966,0.08317758,0.09346824,0.09303925,0.08594503
10,0.113610536,0.10439194,0.10646069,0.09723486,0.10201341,0.120585494,0.083135486,0.0935027,0.093044974,0.086019866
11,0.113738306,0.10433733,0.10638717,0.097468495,0.10183257,0.120757446,0.08306245,0.093499,0.09291424,0.086002976
12,0.11371236,0.10434675,0.10646064,0.097309195,0.10195134,0.12063229,0.083124936,0.09349057,0.093026526,0.0859453
13,0.11372958,0.104490474,0.10662681,0.09702221,0.10211075,0.12048617,0.08313864,0.09357875,0.093012586,0.085804045
14,0.11362973,0.104335114,0.10649145,0.097306594,0.102067225,0.12056366,0.08327166,0.09346511,0.09304144,0.08582799
15,0.11401688,0.1047089,0.106518306,0.09707049,0.10172782,0.12057656,0.082489505,0.093579486,0.09294313,0.0863689
16,0.11364186,0.10441172,0.106315576,0.097605094,0.10230223,0.12069107,0.08352879,0.093576066,0.092599496,0.08532806
17,0.1137591,0.10448286,0.10651017,0.09725152,0.10188401,0.12057535,0.08299744,0.093341485,0.09308714,0.08611088
18,0.113532685,0.10458765,0.106626846,0.09716291,0.10200903,0.12062092,0.08319576,0.09356826,0.092882924,0.085813
19,0.11336431,0.10447122,0.10669934,0.09720643,0.101794526,0.12103985,0.08307249,0.0935053,0.09286101,0.08598548
20,0.11355147,0.104459725,0.10658433,0.09723224,0.10195168,0.12066342,0.08310376,0.0934573,0.09299848,0.08599752
21,0.113897935,0.1044383,0.106445484,0.097767934,0.10179579,0.120867305,0.08299701,0.093921766,0.09251868,0.085349865
