,Atrial Cardiomyocyte,Ventricular Cardiomyocyte,Fibroblast,Endothelial cell,Lymphatic Endothelial cell,Mural cell,Mesothelial cell,Neural cell,Adipocyte,Myeloid,Lymphoid,Mast cell
0,0.0253594,0.21493568,0.051572517,0.119284645,0.051036175,1.4762784e-07,0.32878506,0.08802443,0.0023625572,0.065968946,0.02962949,0.023041017
1,0.01965393,0.4157443,0.049143504,0.0035882937,0.0106697865,9.858793e-10,0.32257164,0.11342766,0.00958455,0.015295842,0.031194532,0.009125982
2,0.013029788,0.2882321,0.0137895625,0.016467791,0.21005662,2.897917e-10,0.29154834,0.053704128,0.00047051185,0.085123256,0.018045817,0.009532125
3,0.015359028,0.32127446,0.015548564,0.0929066,0.13833907,6.3186114e-09,0.3152393,0.046142172,0.00043470768,0.0022189526,0.04835298,0.00418415
4,0.028299218,0.3804782,0.07194577,0.034574777,0.0051119793,1.5418209e-08,0.3614274,0.07593803,0.012987462,0.0031056318,0.019835714,0.006295741
5,0.0024223907,0.006369607,0.18049493,0.2130442,0.22295083,4.8034952e-08,0.1311847,0.15233858,0.008003576,0.006074173,0.05145701,0.025659943
6,0.010011267,0.18633004,0.023411384,0.033597935,0.15648901,1.9177826e-09,0.18403718,0.06495651,0.0028922844,0.2558963,0.080990665,0.0013874306
7,0.018924847,0.1474692,0.04254569,0.14835422,0.054176096,1.4735252e-07,0.00037268127,0.2668978,0.0068065976,0.21647562,0.09615601,0.001821105
8,0.005222876,0.023920812,0.12735486,0.21986462,0.09168186,1.305727e-07,0.33346283,0.090722054,0.013645383,0.05267993,0.039151426,0.0022931828
9,0.058117457,0.32670337,0.036055457,0.043543372,0.009378896,9.8551865e-08,0.27023214,0.1499153,0.006818095,0.041775685,0.026673906,0.030786222
10,0.013240784,0.2163717,0.034220878,0.102305315,0.040456038,8.8517766e-08,0.31034806,0.16257374,0.0013699641,0.069105856,0.027582793,0.022424802
11,0.008155847,0.25143436,0.27870014,0.11854103,0.033027288,7.296488e-08,0.0017207548,0.08242279,0.019709628,0.08082097,0.10018079,0.025286328
12,0.025505584,0.2675069,0.08136664,0.070963465,0.118361235,7.0495254e-09,0.18360363,0.081659846,0.005507404,0.13473588,0.022253543,0.008535842
13,0.0015559637,0.005480542,0.10220518,0.2082801,0.03598204,6.95842e-08,0.05680291,0.40906003,0.008988992,0.0029588602,0.1019069,0.06677838
14,0.020105843,0.14245012,0.1023456,0.112076424,0.028433,2.1786191e-07,0.11175956,0.0936933,0.013838898,0.19476917,0.14820196,0.032325882
