"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0.165516572750426,0.157779364896958,0.285969920057212,0,0,0.148211990820178,0.242522151475225,0,0,0,0,0
"2","1",0,0.106501258494835,0.085833846539911,0,0.160794542946501,0.162901468292723,0.212383121597024,0,0,0,0,0.271585762129005
"3","2",0.205222260352479,0,0,0.195049693711552,0,0.471198156825863,0,0,0,0,0.128529889110105,0
"4","3",0.464572883397973,0,0,0.115070288900031,0.139622360861773,0,0,0,0,0,0,0.280734466840223
"5","4",0.832540452616608,0.167459547383392,0,0,0,0,0,0,0,0,0,0
"6","5",0,0.132707040687613,0,0.261488630736245,0.125546496470317,0.480257832105825,0,0,0,0,0,0
"7","6",0,0,0.18776344135098,0,0.321259472375225,0.31841352959131,0,0,0,0,0,0.172563556682486
"8","7",0.223156969520392,0,0.0952755736105198,0,0.176408502072644,0.170466646091708,0.334692308704735,0,0,0,0,0
"9","8",0,0,0,0.327889915247243,0,0.131429066500902,0.234539558023273,0,0,0,0,0.306141460228582
"10","9",0.339379639551163,0.169303922768062,0,0.165412688187749,0,0,0.155472087285414,0,0.170431662207612,0,0,0
"11","10",0.198476339474192,0.285613376708467,0,0.24856822135303,0,0.26734206246431,0,0,0,0,0,0
"12","11",0,1,0,0,0,0,0,0,0,0,0,0
"13","12",0.229030928453095,0.240860286535805,0.235949195879876,0,0,0.294159589131223,0,0,0,0,0,0
"14","13",0,0,0,0.391196074940706,0.182695430364208,0,0.426108494695086,0,0,0,0,0
"15","14",0.246591873258166,0,0.149479097675548,0.388709321121804,0,0,0,0,0,0,0,0.215219707944482
"16","15",0,0,0.272499520185275,0,0,0,0.389977942039425,0,0,0,0,0.3375225377753
"17","16",0.278283898905124,0,0,0,0,0.302207427288283,0,0,0.172215725627117,0,0,0.247292948179476
