"","cell_ID","glutamatergic neuron","inhibitory interneuron","vascular associated smooth muscle cell","endothelial cell","radial glial cell","oligodendrocyte precursor cell","caudal ganglionic eminence derived interneuron","microglial cell","medial ganglionic eminence derived interneuron","pericyte","astrocyte","neural progenitor cell","oligodendrocyte"
"1","0",0.302164273168018,0,0,0,0.117286872434403,0.182414059644728,0.167570493862299,0.230564300890551,0,0,0,0,0
"2","1",0,0.254778746144007,0.242205153937698,0,0,0,0.17370816974919,0.12355769837491,0,0,0,0.205750231794195,0
"3","2",0.230336723331996,0.219451048975073,0.269071953545417,0,0,0,0,0.281140274147514,0,0,0,0,0
"4","3",0,0,0.200665713822596,0,0,0.223490824783934,0,0.272939403504594,0,0.302904057888876,0,0,0
"5","4",0,0,0,0,0.228121707021102,0,0.222366707438668,0.240439799912396,0,0,0,0.309071785627835,0
"6","5",0,0.173831064994699,0.219192726291711,0,0,0.215295057443509,0,0,0.225989019127148,0,0,0.165692132142934,0
"7","6",0,0.162409672641305,0.298694350441167,0,0,0,0.210227937485322,0,0.211890866003962,0,0,0.116777173428244,0
"8","7",0,0,0.307985100183762,0,0.287402647712233,0.183836771409917,0,0,0,0.220775480694088,0,0,0
"9","8",0,0.159386059236425,0,0,0.130689535244319,0,0.368263478607227,0,0,0.183680806655031,0,0.157980120256998,0
"10","9",0,0.23845118560936,0.228129914857936,0,0,0.239530271353613,0,0,0,0.151382693250491,0,0.1425059349286,0
"11","10",0,0.264659081191866,0.275959788007286,0,0.103199317478648,0.231656427273111,0,0.124525386049088,0,0,0,0,0
"12","11",0,0,0,0,0.403440288061491,0,0.596559711938509,0,0,0,0,0,0
"13","12",0,0.12411569652424,0.222684977162829,0,0.140517922450649,0,0.159598875799915,0,0,0.13369102549625,0,0.219391502566117,0
"14","13",0.281933551673392,0,0,0,0,0,0.204703168493235,0.143506203188859,0.22830565425708,0,0,0.141551422387435,0
"15","14",0.169755255062459,0.132563364484534,0,0,0,0,0.351405446795278,0,0.0843642321640295,0.2619117014937,0,0,0
