restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,True,0,-12860453.66015625,-13567863.3359375,-31084.789916992188,-26459401.786010742
0,True,1,-12845734.43359375,-13567767.67578125,-31234.758911132812,-26444736.868286133
0,True,2,-12841203.4140625,-13567545.38671875,-31339.373046875,-26440088.173828125
0,True,3,-12839766.2421875,-13567284.50390625,-31402.513916015625,-26438453.260009766
0,True,4,-12838599.6015625,-13567017.7578125,-31431.366577148438,-26437048.72595215
0,True,5,-12837212.57421875,-13566753.90234375,-31433.962646484375,-26435400.439208984
0,True,6,-12835777.63671875,-13566494.27734375,-31417.8818359375,-26433689.795898438
0,True,7,-12834462.015625,-13566237.63671875,-31389.77880859375,-26432089.431152344
0,True,8,-12833314.5859375,-13565982.3828125,-31355.100952148438,-26430652.06970215
0,True,9,-12832314.8984375,-13565727.83984375,-31317.883422851562,-26429360.6217041
0,True,10,-12831429.05078125,-13565473.6640625,-31280.77197265625,-26428183.486816406
0,True,11,-12830635.94140625,-13565219.64453125,-31245.188598632812,-26427100.774536133
0,True,12,-12829925.4375,-13564965.89453125,-31211.559936523438,-26426102.891967773
0,True,13,-12829280.16015625,-13564712.80859375,-31179.653076171875,-26425172.621826172
0,True,14,-12828674.59375,-13564460.48828125,-31148.899169921875,-26424283.981201172
0,True,15,-12828089.99609375,-13564209.73828125,-31118.618286132812,-26423418.352661133
0,True,16,-12827523.59765625,-13563961.08984375,-31088.187744140625,-26422572.87524414
0,True,17,-12826983.68359375,-13563714.8828125,-31057.123291015625,-26421755.689697266
0,True,18,-12826479.22265625,-13563471.890625,-31025.09912109375,-26420976.212402344
0,True,19,-12826011.94921875,-13563232.72265625,-30991.949584960938,-26420236.62145996
0,True,20,-12825578.984375,-13562997.56640625,-30957.644775390625,-26419534.19555664
0,True,21,-12825176.58984375,-13562767.08203125,-30922.273315429688,-26418865.94519043
0,True,22,-12824801.14453125,-13562541.58984375,-30886.014526367188,-26418228.748901367
0,True,23,-12824447.25390625,-13562321.109375,-30849.07763671875,-26417617.44091797
0,True,24,-12824111.05078125,-13562105.94921875,-30811.656372070312,-26417028.65637207
0,True,25,-12823792.921875,-13561895.76953125,-30773.8994140625,-26416462.590820312
0,True,26,-12823496.33203125,-13561690.38671875,-30735.9091796875,-26415922.627929688
0,True,27,-12823224.2265625,-13561489.87109375,-30697.76806640625,-26415411.865722656
0,True,28,-12822974.65625,-13561293.86328125,-30659.556640625,-26414928.076171875
0,True,29,-12822740.828125,-13561102.2890625,-30621.365356445312,-26414464.482543945
0,True,30,-12822517.08203125,-13560915.1796875,-30583.294921875,-26414015.556640625
0,True,31,-12822301.671875,-13560732.62890625,-30545.452758789062,-26413579.75354004
0,True,32,-12822095.38671875,-13560554.7109375,-30507.93701171875,-26413158.03466797
0,True,33,-12821898.671875,-13560381.16015625,-30470.803955078125,-26412750.635986328
0,True,34,-12821712.14453125,-13560212.015625,-30434.055053710938,-26412358.21520996
0,True,35,-12821535.70703125,-13560047.0078125,-30397.6318359375,-26411980.346679688
0,True,36,-12821369.59375,-13559885.75,-30361.450927734375,-26411616.794677734
0,True,37,-12821213.296875,-13559727.90234375,-30325.422607421875,-26411266.621826172
0,True,38,-12821065.87890625,-13559572.84375,-30289.481079101562,-26410928.20373535
0,True,39,-12820926.7109375,-13559420.3125,-30253.616821289062,-26410600.64025879
0,True,40,-12820794.7265625,-13559270.33984375,-30217.880249023438,-26410282.946655273
0,True,41,-12820669.59375,-13559122.78125,-30182.368896484375,-26409974.743896484
0,True,42,-12820551.66796875,-13558977.60546875,-30147.1943359375,-26409676.467773438
0,True,43,-12820440.08984375,-13558834.74609375,-30112.443481445312,-26409387.279418945
0,True,44,-12820334.93359375,-13558694.21484375,-30078.174194335938,-26409107.322631836
0,True,45,-12820236.375,-13558556.046875,-30044.415161132812,-26408836.837036133
0,True,46,-12820143.43359375,-13558419.98828125,-30011.169921875,-26408574.591796875
0,True,47,-12820054.34375,-13558286.16015625,-29978.434204101562,-26408318.93811035
0,True,48,-12819968.31640625,-13558154.484375,-29946.199096679688,-26408068.99987793
0,True,49,-12819885.734375,-13558024.953125,-29914.462890625,-26407825.150390625
0,True,50,-12819807.78125,-13557897.390625,-29883.219482421875,-26407588.391357422
0,True,51,-12819735.62890625,-13557772.0625,-29852.465087890625,-26407360.15649414
0,True,52,-12819668.0390625,-13557648.640625,-29822.206176757812,-26407138.885864258
0,True,53,-12819604.2734375,-13557526.93359375,-29792.479614257812,-26406923.686645508
0,True,54,-12819543.30859375,-13557406.9609375,-29763.3466796875,-26406713.616210938
0,True,55,-12819485.49609375,-13557288.390625,-29734.882568359375,-26406508.76928711
0,True,56,-12819430.81640625,-13557171.32421875,-29707.159423828125,-26406309.300048828
0,True,57,-12819379.390625,-13557055.98828125,-29680.237426757812,-26406115.616333008
0,True,58,-12819330.6640625,-13556942.29296875,-29654.154174804688,-26405927.111206055
0,True,59,-12819284.453125,-13556830.30859375,-29628.926391601562,-26405743.68811035
0,True,60,-12819240.46875,-13556720.16796875,-29604.55029296875,-26405565.18701172
0,True,61,-12819198.71875,-13556611.94921875,-29581.018432617188,-26405391.686401367
0,True,62,-12819159.3046875,-13556505.47265625,-29558.312744140625,-26405223.09008789
0,True,63,-12819122.33984375,-13556400.9453125,-29536.418823242188,-26405059.703979492
0,True,64,-12819087.25390625,-13556298.0625,-29515.326538085938,-26404900.642944336
0,True,65,-12819054.4921875,-13556196.90625,-29495.050170898438,-26404746.4486084
0,True,66,-12819023.984375,-13556097.6484375,-29475.61865234375,-26404597.251464844
0,True,67,-12818995.6328125,-13556000.25390625,-29457.067016601562,-26404452.95373535
0,True,68,-12818969.234375,-13555904.7265625,-29439.42138671875,-26404313.38232422
0,True,69,-12818944.19140625,-13555811.01171875,-29422.690063476562,-26404177.893188477
