restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,True,0,-12742634.33984375,-13166031.60546875,-35022.291748046875,-25943688.237060547
0,True,1,-12717475.59375,-13165985.265625,-35187.830078125,-25918648.689453125
0,True,2,-12696013.72265625,-13165929.41015625,-35350.67041015625,-25897293.803222656
0,True,3,-12677892.25390625,-13165866.97265625,-35508.57666015625,-25879267.803222656
0,True,4,-12662675.76171875,-13165798.41015625,-35660.08544921875,-25864134.25732422
0,True,5,-12649922.20703125,-13165724.12109375,-35804.12353515625,-25851450.451660156
0,True,6,-12639224.0703125,-13165644.97265625,-35939.81494140625,-25840808.857910156
0,True,7,-12630226.04296875,-13165561.93359375,-36066.485595703125,-25831854.462158203
0,True,8,-12622629.48046875,-13165476.078125,-36183.7109375,-25824289.26953125
0,True,9,-12616186.45703125,-13165387.8203125,-36291.3232421875,-25817865.600585938
0,True,10,-12610691.99609375,-13165297.53125,-36389.363525390625,-25812378.89086914
0,True,11,-12605976.32421875,-13165205.37890625,-36478.03662109375,-25807659.739746094
0,True,12,-12601898.48828125,-13165111.171875,-36557.677490234375,-25803567.337646484
0,True,13,-12598341.4765625,-13165014.8984375,-36628.7177734375,-25799985.092773438
0,True,14,-12595208.50390625,-13164916.5390625,-36691.65576171875,-25796816.69873047
0,True,15,-12592419.52734375,-13164816.11328125,-36747.04052734375,-25793982.681152344
0,True,16,-12589909.1171875,-13164713.7265625,-36795.444091796875,-25791418.287841797
0,True,17,-12587624.16796875,-13164609.57421875,-36837.45166015625,-25789071.193847656
0,True,18,-12585522.77734375,-13164504.125,-36873.652587890625,-25786900.55493164
0,True,19,-12583572.0703125,-13164397.453125,-36904.6259765625,-25784874.149414062
0,True,20,-12581748.265625,-13164289.83203125,-36930.926513671875,-25782969.024169922
0,True,21,-12580033.25390625,-13164181.5859375,-36953.08544921875,-25781167.92529297
0,True,22,-12578414.56640625,-13164073.27734375,-36971.60009765625,-25779459.443847656
0,True,23,-12576883.26953125,-13163965.2578125,-36986.92919921875,-25777835.45654297
0,True,24,-12575433.70703125,-13163857.4296875,-36999.493408203125,-25776290.630126953
0,True,25,-12574062.359375,-13163750.30078125,-37009.670654296875,-25774822.330810547
0,True,26,-12572767.3046875,-13163643.85546875,-37017.805419921875,-25773428.965576172
0,True,27,-12571547.0625,-13163538.03515625,-37024.2041015625,-25772109.301757812
0,True,28,-12570400.27734375,-13163433.24609375,-37029.1474609375,-25770862.670898438
0,True,29,-12569324.09375,-13163329.0859375,-37032.88232421875,-25769686.06201172
0,True,30,-12568315.75,-13163226.046875,-37035.6220703125,-25768577.418945312
0,True,31,-12567370.875,-13163123.98828125,-37037.53466796875,-25767532.39794922
0,True,32,-12566484.8359375,-13163022.80078125,-37038.754150390625,-25766546.39086914
0,True,33,-12565653.3046875,-13162922.86328125,-37039.373046875,-25765615.541015625
0,True,34,-12564871.609375,-13162823.84765625,-37039.45068359375,-25764734.907714844
0,True,35,-12564136.125,-13162726.0859375,-37039.02978515625,-25763901.240722656
0,True,36,-12563442.25390625,-13162629.48046875,-37038.147216796875,-25763109.881591797
0,True,37,-12562786.46875,-13162534.35546875,-37036.83642578125,-25762357.66064453
0,True,38,-12562165.203125,-13162440.421875,-37035.125244140625,-25761640.75024414
0,True,39,-12561575.01171875,-13162347.82421875,-37033.033203125,-25760955.869140625
0,True,40,-12561013.76171875,-13162256.796875,-37030.570556640625,-25760301.12915039
0,True,41,-12560479.36328125,-13162167.04296875,-37027.736328125,-25759674.142578125
0,True,42,-12559970.0625,-13162078.60546875,-37024.52587890625,-25759073.193847656
0,True,43,-12559484.84375,-13161991.27734375,-37020.93994140625,-25758497.061035156
0,True,44,-12559022.18359375,-13161905.1328125,-37016.98583984375,-25757944.302246094
0,True,45,-12558581.04296875,-13161820.00390625,-37012.6806640625,-25757413.727539062
0,True,46,-12558159.9296875,-13161735.8359375,-37008.050048828125,-25756903.815673828
0,True,47,-12557757.6484375,-13161652.62890625,-37003.125732421875,-25756413.403076172
0,True,48,-12557372.96484375,-13161570.26953125,-36997.943603515625,-25755941.177978516
0,True,49,-12557004.6171875,-13161488.6640625,-36992.542236328125,-25755485.823486328
0,True,50,-12556651.8515625,-13161408.10546875,-36986.96142578125,-25755046.91845703
0,True,51,-12556313.28125,-13161328.34765625,-36981.229248046875,-25754622.858154297
0,True,52,-12555988.39453125,-13161249.2578125,-36975.367919921875,-25754213.020263672
0,True,53,-12555676.44140625,-13161171.12109375,-36969.38037109375,-25753816.942871094
0,True,54,-12555376.5234375,-13161093.60546875,-36963.257568359375,-25753433.38647461
0,True,55,-12555087.796875,-13161017.0078125,-36956.98681640625,-25753061.791503906
0,True,56,-12554809.66796875,-13160941.0625,-36950.56005859375,-25752701.290527344
