outer_split_seed,inner_mixture_seed,condition,metric,shapemix_length_status,shapemix_length_run_id,shapemix_length_error,shapemix_length_value,shapemix_count_only_status,shapemix_count_only_run_id,shapemix_count_only_error,shapemix_count_only_value,pair_status,unavailable_reason,delta_length_minus_count_only
1103,101,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,,0.1844311724731888,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,,0.15698890012299382,complete,,0.027442272350194974
1103,211,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,,0.18513066288205837,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,,0.15763712735167362,complete,,0.02749353553038475
2203,101,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,,0.18071513154582838,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,,0.1533703048915403,complete,,0.027344826654288085
2203,211,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,,0.18252122014439195,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,,0.15390960755261232,complete,,0.028611612591779634
3301,101,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,,0.18221512341104285,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,,0.15532510190915386,complete,,0.02689002150188899
3301,211,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_length,,0.18067238247059692,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_count_only,,0.15294360343386848,complete,,0.027728779036728435
4409,101,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_length,,0.1833551699395418,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_count_only,,0.15688426208116707,complete,,0.02647090785837472
4409,211,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_length,,0.18484361195051333,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_count_only,,0.15786767886642544,complete,,0.026975933084087883
5501,101,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_length,,0.18679131582651198,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_count_only,,0.16155518454661427,complete,,0.02523613127989771
5501,211,equal_celltype,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_length,,0.18486794331664583,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_count_only,,0.1585256119164264,complete,,0.026342331400219438
1103,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,,0.05736525993303047,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,,0.05204426365849039,complete,,0.00532099627454008
1103,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,,0.05826791721056041,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,,0.05266075991243813,complete,,0.005607157298122278
2203,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,,0.056915261332984426,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,,0.0515845423755097,complete,,0.00533071895747473
2203,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,,0.05718147790101732,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,,0.05151650818925982,complete,,0.005664969711757499
3301,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,,0.05713624633977729,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,,0.05229457210822187,complete,,0.004841674231555418
3301,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_length,,0.05675259306120607,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_count_only,,0.05157712757937181,complete,,0.005175465481834264
4409,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_length,,0.05748889102674737,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_count_only,,0.05231295040118602,complete,,0.00517594062556135
