source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,status,experiment_config_path,experiment_config_source_sha256,experiment_config_resolved_sha256,benchmark_protocol_path,benchmark_protocol_sha256,registry_path,registry_source_sha256,dataset_config_sha256,git_commit,git_worktree_dirty,code_manifest_sha256,output_manifest_path,output_manifest_sha256,output_manifest_file_count,wall_runtime_seconds,peak_rss_bytes,peak_rss_mb,rss_measurement,performance_scope,execution_action,shard_index,shard_count
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,812f35a4ae1089686898c27e5555f711289d95165368ee3ba684e681fd6da262,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,46d94297cc981c372a308408fac4e4646262a3003f87bf7d95fa849a7150be0a,11,1940.5765384580009,1643479040,1567.34375,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,0,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,812f35a4ae1089686898c27e5555f711289d95165368ee3ba684e681fd6da262,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,20a7415272ac703220c5f05dbd7747a585b8045a2b530efd9576ea0890126a2b,11,3694.7245774581097,1708572672,1629.421875,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,0,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,72e2e9af7937eecef945672e369da5a1ae463e63bc2b16144d15137f4143b231,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,e9d7420e82f33f32bf90c6d819f82168022dcb016b04414ef351731390d0d9cd,11,1999.2495522499084,1637908480,1562.03125,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1705410560,""platform"":""darwin"",""raw_value"":1705410560,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,1,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,72e2e9af7937eecef945672e369da5a1ae463e63bc2b16144d15137f4143b231,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,12c85227274e8d0bfa82f2584b31003b4e63ee81cbe125d73ecef53b99e3b6c5,11,3680.6862302091904,1621377024,1546.265625,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1705410560,""platform"":""darwin"",""raw_value"":1705410560,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,1,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,9c6b74f7a7574cb1b91c109604eea1267baff7aaab30a22516eb2f54e94cb8d1,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,89787d71692f6815ac92bfafab328e31f20a1a1a1d66ee9caf9eed3540b85b2a,11,1946.8944675000384,1691582464,1613.21875,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1697513472,""platform"":""darwin"",""raw_value"":1697513472,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,2,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_length,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,9c6b74f7a7574cb1b91c109604eea1267baff7aaab30a22516eb2f54e94cb8d1,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,e55aed1102406feae556d242004445e420cb8a290ee4f8755fc5089bac6a0f18,11,3658.21238225,1697087488,1618.46875,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1697513472,""platform"":""darwin"",""raw_value"":1697513472,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,2,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_count_only,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,d5d57a79003388e9d915b0451a82e4bf00f45514e2ff8f08f39ec92f0aabe40f,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,5389ea575b12f2f6e988799c3b8625fddcae6f43c4b0e1aab8ad64492e607aa7,11,1999.534439667128,1609154560,1534.609375,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,3,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_length,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,d5d57a79003388e9d915b0451a82e4bf00f45514e2ff8f08f39ec92f0aabe40f,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,a9cd7dc0b9c9b768fc48a4f285bfad3fa785afafda10e16c0c3b3ef90963b624,11,3746.191602624953,1702592512,1623.71875,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,3,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_count_only,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,6d1e8d5c39260d06b21515bf601c04212a7eccb116d66b70363d29c62193536e,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,93bfa7ba9d2937a7980dd0316af6bebc57568155002bc44f3367ffab07fab632,11,1906.4400037922896,1555496960,1483.4375,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,4,5
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_length,success,configs/experiments/shapemix_primary_ablation.yaml,0604074d476b125df006565e59a909fe6d5f0983ae6773455889acf8ab16b09b,1ac65d9b0fc1c43345a4e594aa1a40a5beeb8f77f74aa5ccd6858d071a53d434,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,6d1e8d5c39260d06b21515bf601c04212a7eccb116d66b70363d29c62193536e,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,output_sha256.yaml,c78b3e119563d88b5210be23423b94a2e20fe43312be6e1c6d52546521963086,11,3732.001870583743,1702215680,1623.359375,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",load_signature_fit_diagnostics_standard_write_and_evaluation,executed,4,5
