spot_id,CD14 Mono,CD4 Naive,CD8 Naive,CD4 TCM,CD16 Mono,NK,CD8 TEM_1,CD8 TEM_2,Intermediate B,Memory B,CD4 TEM,cDC,Treg,gdT,MAIT,Naive B
spot_0000,0.1538461538461538,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0,0.2307692307692307,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0,0.0769230769230769,0.0,0.0,0.0
spot_0001,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0,0.3636363636363636,0.0,0.2727272727272727,0.0,0.0,0.0,0.0
spot_0002,0.0,0.0,0.125,0.0,0.0,0.375,0.125,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
spot_0003,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0,0.2307692307692307
spot_0004,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0
spot_0005,0.0,0.0,0.25,0.0,0.125,0.25,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0
spot_0006,0.0,0.0625,0.0,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.0,0.0625,0.0625,0.0,0.125
spot_0007,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0
spot_0008,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
spot_0009,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.2142857142857142,0.0,0.0714285714285714,0.0,0.0714285714285714
spot_0010,0.125,0.0,0.125,0.0625,0.0625,0.0625,0.1875,0.0,0.125,0.0,0.0,0.0,0.0625,0.125,0.0,0.0625
spot_0011,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.375
spot_0012,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.25,0.0833333333333333
spot_0013,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666
spot_0014,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0
spot_0015,0.0416666666666666,0.1666666666666666,0.0416666666666666,0.0416666666666666,0.0,0.0416666666666666,0.0416666666666666,0.0,0.0,0.125,0.0,0.0833333333333333,0.0416666666666666,0.1666666666666666,0.0833333333333333,0.125
spot_0016,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.4285714285714285,0.0,0.0
spot_0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.2
spot_0018,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.25
spot_0019,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0
spot_0020,0.0714285714285714,0.0,0.0714285714285714,0.0,0.2142857142857142,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.2142857142857142,0.0714285714285714,0.0714285714285714
spot_0021,0.2,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1
spot_0022,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0
spot_0023,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.1
spot_0024,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
spot_0025,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.0,0.0
spot_0026,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1
spot_0027,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0
spot_0028,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0909090909090909,0.3636363636363636,0.0
spot_0029,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
spot_0030,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111
spot_0031,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.1818181818181818,0.2727272727272727,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0909090909090909,0.0
spot_0032,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.1538461538461538,0.2307692307692307,0.0,0.0,0.1538461538461538
spot_0033,0.0,0.0666666666666666,0.2,0.2,0.0666666666666666,0.0,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0
spot_0034,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.2307692307692307,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0769230769230769
spot_0035,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.2857142857142857,0.0,0.0
spot_0036,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
spot_0037,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.125,0.0
spot_0038,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2
spot_0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
spot_0040,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0
spot_0041,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111
spot_0042,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0
spot_0043,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.25,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0
spot_0044,0.0,0.0,0.1538461538461538,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0,0.1538461538461538
spot_0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.25,0.125,0.0,0.0
spot_0046,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,0.0
spot_0047,0.0,0.0769230769230769,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769
spot_0048,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666
spot_0049,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.0714285714285714,0.0,0.2857142857142857,0.0714285714285714
spot_0050,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.0
spot_0051,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0
