dataset,dataset_id,modality,feature_set,method,method_run_id,run_id,run_dir,status,method_config,method_config_source,method_config_source_path,method_config_sha256,method_config_source_sha256,dataset_config_sha256,seed,device,dtype,determinism,experiment_config_path,experiment_config_source_sha256,experiment_config_resolved_sha256,benchmark_protocol_path,benchmark_protocol_sha256,registry_path,registry_source_sha256,git_commit,git_worktree_dirty,code_manifest_sha256,shard_index,shard_count,shard_assignment,wall_runtime_seconds,peak_rss_bytes,peak_rss_mb,performance_scope,rss_measurement,compute_environment,output_manifest_path,output_manifest_sha256,execution_action
pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,a7473960fdc446e5906d744f2c0cb1b7eeeba87a2d9aba3a842aa996c71e3519,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.1911226669326425,1640316928,1564.328125,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1640316928,""platform"":""darwin"",""raw_value"":1640316928,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,fc157cebe0a7135dcd3ab33b90b6e3748c51c6e90c6643e442883b31432486d7,executed
pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,812f35a4ae1089686898c27e5555f711289d95165368ee3ba684e681fd6da262,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.252477665897459,2211610624,2109.15625,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2211610624,""platform"":""darwin"",""raw_value"":2211610624,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,79276613c57d293f50a70f5112714579152f172b4c41ab06ad1a52ccadd9b9f8,executed
pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,9609ebfcaab0221f1017ca452b7a252c4810413997bad6cb46b9fa5ce4211866,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.132912749890238,2732867584,2606.265625,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,c423a15bc999dab3ad6f4e638b516a2db60269b78aa075478b43055aa1a10ec9,executed
pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,72e2e9af7937eecef945672e369da5a1ae463e63bc2b16144d15137f4143b231,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.174395624548197,2587967488,2468.078125,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,c3fe4b80ec072fcb03db449895fa3306a00072d885bb07a8a58d7bf7f14c6537,executed
pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,3fccef707aaabd4bfec1309714096f6c214ab39f946cc863d03ab7e817c35657,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.3003911250270903,2132541440,2033.75,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,4de33b0f4d0682f87713ceefdc60a23821dad2f7a3c7e0a6f4fcea1b84e1fab7,executed
pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,9c6b74f7a7574cb1b91c109604eea1267baff7aaab30a22516eb2f54e94cb8d1,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.3449619160965085,1901625344,1813.53125,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,f4823ddb8ab76bb25d891e73284fec5f701fd9ff63e15d78149270b258607ffb,executed
pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,296a9739537b225c65e3f2495b59443a08ce03415def52b3cbbd7921e2541bce,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.077171833720058,2026602496,1932.71875,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,7e3f8ba57e0ba3a644dda4b500e0e3d8ce87854d6a4879eab80106cba9bbccc7,executed
pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,d5d57a79003388e9d915b0451a82e4bf00f45514e2ff8f08f39ec92f0aabe40f,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.1730349590070546,2206187520,2103.984375,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,edbd370c32bad47e977578140c7e0a15342836bb66571c5321a5f5019ce29f8c,executed
pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,ef601cc18b2ee11f6ad34dc8b31618aba5b426b04c4b259c26d5f7e892cc6363,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.078073834069073,2338226176,2229.90625,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,ca09f564365a8c520a0e8ed56480ad3a962be6ce14fb7744e59eeea16ea441f0,executed
pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,atac,highly_variable,nnls,nnls,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__nnls,/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_baselines_protocol_v1/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__nnls,success,"{""method"":""nnls"",""params"":{""layer_ref"":null,""layer_spatial"":null,""zero_policy"":""zeros""}}",method_runs_config,configs/methods/nnls.yaml,91b0452d0330eae38741593d625c7de72bdb42ca9c471413bb82a14b8a5b2245,35db0680e3470a134602f6727d5349e88b56579cc99311185c9a287694f00e24,6d1e8d5c39260d06b21515bf601c04212a7eccb116d66b70363d29c62193536e,,,,"{""device"":null,""dtype"":null,""seed"":null,""source"":""resolved_method_config""}",configs/experiments/shapemix_baselines.yaml,0c26bb8576ca3ffc48b882e7fff754b98b88d3e60373a50ebb466476944bc6cd,e4d15714d681c08bd95a7223565500cdfd04df2adad1b2f9c280f1586e4fbd38,docs/ShapeMix/benchmark_protocol.md,1c540b1f195af1d398b2ac55a80c06236f4d01aebd2e4daaeb3a97028f8667b6,data/registry/datasets.yaml,1b903b374293d99872e16404f7194b1a65e42993dfed013b4962154c26be7932,31128334f6f8d64aa3b7db767a1324c298dab457,True,68896dbdb4f575e2b315f896c95bde1fb8a2231c500fe900d57e8d3e9bdc7c40,,,,3.086008165962994,2323070976,2215.453125,load_signature_fit_diagnostics_standard_write_and_evaluation,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":2754854912,""platform"":""darwin"",""raw_value"":2754854912,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}","{""cpu_affinity"":null,""logical_cpu_count"":14,""physical_cpu_count"":14,""thread_environment"":{""MKL_NUM_THREADS"":""2"",""NUMEXPR_NUM_THREADS"":""2"",""OMP_NUM_THREADS"":""2"",""OPENBLAS_NUM_THREADS"":""2"",""VECLIB_MAXIMUM_THREADS"":""2""}}",output_sha256.yaml,690896eec689976e47a9009d7ddd67a482599a0c368c9fc22a66ec94c4da73e3,executed
