restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,True,0,-4512256.767486572,-1703766.6250305176,-57504.953048706055,-6273528.345565796
0,True,1,-4484697.617950439,-1703662.7486877441,-57947.796875,-6246308.163513184
0,True,2,-4458830.5894470215,-1703544.3018722534,-58383.639251708984,-6220758.530570984
0,True,3,-4434586.7046813965,-1703411.5147094727,-58810.27639770508,-6196808.495788574
0,True,4,-4411884.192687988,-1703262.6896514893,-59225.40149688721,-6174372.283836365
0,True,5,-4390635.68850708,-1703096.6188278198,-59627.01752471924,-6153359.324859619
0,True,6,-4370753.099304199,-1702912.7838134766,-60013.510971069336,-6133679.394088745
0,True,7,-4352150.54598999,-1702711.2252044678,-60383.563552856445,-6115245.334747314
0,True,8,-4334745.49307251,-1702492.298751831,-60736.08726501465,-6097973.8790893555
0,True,9,-4318459.207855225,-1702256.514389038,-61070.21356964111,-6081785.935813904
0,True,10,-4303216.641662598,-1702004.529586792,-61385.28561401367,-6066606.456863403
0,True,11,-4288946.554931641,-1701737.0831069946,-61680.84689331055,-6052364.484931946
0,True,12,-4275581.353820801,-1701455.0054168701,-61956.625732421875,-6038992.984970093
0,True,13,-4263057.00680542,-1701159.3509368896,-62212.53253173828,-6026428.890274048
0,True,14,-4251313.137329102,-1700851.1788635254,-62448.648178100586,-6014612.964370728
0,True,15,-4240293.047393799,-1700531.5883789062,-62665.21800994873,-6003489.853782654
0,True,16,-4229943.798034668,-1700201.6994552612,-62862.62823486328,-5993008.1257247925
0,True,17,-4220216.127380371,-1699862.6462783813,-63041.40118408203,-5983120.1748428345
0,True,18,-4211064.137084961,-1699515.5848388672,-63202.17205810547,-5973781.893981934
0,True,19,-4202445.396728516,-1699161.6547317505,-63345.67320251465,-5964952.724662781
0,True,20,-4194320.761505127,-1698802.0402526855,-63472.72088623047,-5956595.522644043
0,True,21,-4186654.5046081543,-1698437.8569641113,-63584.198333740234,-5948676.559906006
0,True,22,-4179414.1416625977,-1698070.167541504,-63681.04161834717,-5941165.350822449
0,True,23,-4172570.181121826,-1697699.99319458,-63764.222412109375,-5934034.396728516
0,True,24,-4166095.8765563965,-1697328.2531661987,-63834.73194885254,-5927258.861671448
0,True,25,-4159966.8188476562,-1696955.8104400635,-63893.57339477539,-5920816.202682495
0,True,26,-4154160.5769348145,-1696583.4535217285,-63941.75388336182,-5914685.784339905
0,True,27,-4148656.51272583,-1696211.9320373535,-63980.27313232422,-5908848.717895508
0,True,28,-4143435.546875,-1695841.9323425293,-64010.112243652344,-5903287.591461182
0,True,29,-4138479.8452148438,-1695474.068824768,-64032.222663879395,-5897986.136703491
0,True,30,-4133772.7336730957,-1695108.8961791992,-64047.525817871094,-5892929.155670166
0,True,31,-4129298.5184936523,-1694746.9286346436,-64056.9054107666,-5888102.3525390625
0,True,32,-4125042.46685791,-1694388.5928192139,-64061.202713012695,-5883492.262390137
0,True,33,-4120990.8984375,-1694034.263092041,-64061.21675872803,-5879086.378288269
0,True,34,-4117130.980529785,-1693684.2507781982,-64057.6953125,-5874872.926620483
0,True,35,-4113450.9227905273,-1693338.821258545,-64051.331398010254,-5870841.0754470825
0,True,36,-4109939.759338379,-1692998.1683197021,-64042.76811218262,-5866980.695770264
0,True,37,-4106587.357696533,-1692662.450263977,-64032.59201049805,-5863282.399971008
0,True,38,-4103384.257446289,-1692331.7666168213,-64021.34677886963,-5859737.37084198
0,True,39,-4100321.665161133,-1692006.2334518433,-64009.517837524414,-5856337.4164505005
0,True,40,-4097391.2648620605,-1691685.9042358398,-63997.544021606445,-5853074.713119507
0,True,41,-4094585.369720459,-1691370.8384399414,-63985.81245422363,-5849942.020614624
0,True,42,-4091896.8843688965,-1691061.066482544,-63974.66386413574,-5846932.614715576
0,True,43,-4089319.1978759766,-1690756.5806655884,-63964.388610839844,-5844040.167152405
0,True,44,-4086846.139770508,-1690457.412902832,-63955.2342376709,-5841258.786911011
0,True,45,-4084471.9900512695,-1690163.5026168823,-63947.40602874756,-5838582.898696899
0,True,46,-4082191.430267334,-1689874.8773498535,-63941.06578063965,-5836007.373397827
0,True,47,-4079999.5065307617,-1689591.4769515991,-63936.343505859375,-5833527.32698822
0,True,48,-4077891.527282715,-1689313.2685928345,-63933.33615112305,-5831138.132026672
0,True,49,-4075863.1280822754,-1689040.1962890625,-63932.11324310303,-5828835.437614441
0,True,50,-4073910.2499084473,-1688772.1866607666,-63932.72173309326,-5826615.158302307
0,True,51,-4072029.049560547,-1688509.1891479492,-63935.18524169922,-5824473.423950195
0,True,52,-4070215.982055664,-1688251.1603546143,-63939.513175964355,-5822406.655586243
0,True,53,-4068467.6902770996,-1687998.0352096558,-63945.700744628906,-5820411.426231384
0,True,54,-4066781.085205078,-1687749.7806854248,-63953.73165130615,-5818484.597541809
0,True,55,-4065153.306213379,-1687506.300064087,-63963.57899475098,-5816623.185272217
0,True,56,-4063581.515319824,-1687267.647453308,-63975.211364746094,-5814824.374137878
0,True,57,-4062063.255554199,-1687033.6575164795,-63988.57817840576,-5813085.4912490845
0,True,58,-4060595.9883117676,-1686804.4616699219,-64003.64253997803,-5811404.0925216675
0,True,59,-4059177.5915527344,-1686579.903327942,-64020.339111328125,-5809777.833992004
0,True,60,-4057805.8958740234,-1686359.994392395,-64038.61009979248,-5808204.500366211
0,True,61,-4056478.854675293,-1686144.7570800781,-64058.39569854736,-5806682.007453918
0,True,62,-4055194.7111206055,-1685934.0605773926,-64079.61590576172,-5805208.38760376
0,True,63,-4053951.719970703,-1685727.90524292,-64102.19906616211,-5803781.824279785
