dataset_id,method_id,normalized_reconstruction_error_proxy,absolute_total_residual_fraction,warning_threshold,off_reference_or_mismatch_warning,converged,background_mode,interpretation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,1.3516529577334926,0.1602257220017748,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,1.3516479668537733,0.16211489946933189,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,0.7981536197826512,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,1.6819938479899843,0.06138377949243773,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,1.6820952490353542,0.06122716471773032,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_25um_v1,nnls,0.9436774574132776,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,1.2853478539874015,0.1484885624884568,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,1.2869283802281442,0.15239973871498408,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,0.8122203273352938,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,shapemix_length,1.4050193330908929,0.15367409846051044,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,shapemix_count_only,1.4059377298016014,0.15816190464061491,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,nnls,0.7940731149388254,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_50um_v1,shapemix_length,1.5718456615235956,0.020212522348094928,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_50um_v1,shapemix_count_only,1.5717647588510009,0.020436944816658115,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_mouse_embryo_e13_50um_v1,nnls,0.9181396079192266,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_human_hippocampus_50um_v1,shapemix_length,1.6211473547462978,0.1871618903552448,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_human_hippocampus_50um_v1,shapemix_count_only,1.620184222121171,0.18800257030168094,0.05,True,True,none,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
gse205055_shapemix_human_hippocampus_50um_v1,nnls,0.9710420094918696,,0.05,True,True,not_available_nnls,"proxy_warning_not_identified_off_reference_mass; high error may reflect protocol, disease, reference, or model mismatch"
