factor,level,control_level,method_run_id,metric,mixture_seeds,mean_value,seed_sd,minimum_value,maximum_value
bins,five,three,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
bins,five,three,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
bins,five,three,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
bins,five,three,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
bins,five,three,shapemix_length,jsd_v2,2,0.1356268821658123,0.001309041665269764,0.1347012499274443,0.1365525144041803
bins,five,three,shapemix_length,rmse_v1,2,0.0478610705009469,0.00019500340873611813,0.0477231822682751,0.0479989587336187
bins,three,three,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
bins,three,three,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
bins,three,three,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
bins,three,three,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
bins,three,three,shapemix_length,jsd_v2,2,0.1293023840278407,0.0012055708571116054,0.1284499166995762,0.1301548513561052
bins,three,three,shapemix_length,rmse_v1,2,0.04690788256701475,0.00025853928788022786,0.0467250676833515,0.047090697450678
bins,two,three,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
bins,two,three,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
bins,two,three,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
bins,two,three,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
bins,two,three,shapemix_length,jsd_v2,2,0.12662562679599795,0.0013427124283791317,0.1256761857327076,0.1275750678592883
bins,two,three,shapemix_length,rmse_v1,2,0.0467334075545367,0.00023771941291912387,0.0465653145456419,0.0469015005634315
cells,mean_10,mean_10,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
cells,mean_10,mean_10,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
cells,mean_10,mean_10,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
cells,mean_10,mean_10,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
cells,mean_10,mean_10,shapemix_length,jsd_v2,2,0.1293023840278407,0.0012055708571116054,0.1284499166995762,0.1301548513561052
cells,mean_10,mean_10,shapemix_length,rmse_v1,2,0.04690788256701475,0.00025853928788022786,0.0467250676833515,0.047090697450678
cells,mean_2,mean_10,nnls,jsd_v2,2,0.17342366311040558,0.002878668563491525,0.1713881370483722,0.175459189172439
cells,mean_2,mean_10,nnls,rmse_v1,2,0.09465758327227669,0.0008043413654113338,0.0940888280384055,0.0952263385061479
cells,mean_2,mean_10,shapemix_count_only,jsd_v2,2,0.18002739884638458,5.597433212985836e-05,0.1799878190165632,0.180066978676206
cells,mean_2,mean_10,shapemix_count_only,rmse_v1,2,0.0906292736173174,0.0015338494045517574,0.0895446783020399,0.0917138689325949
cells,mean_2,mean_10,shapemix_length,jsd_v2,2,0.2020890967403599,0.001242966512015004,0.2012101866909263,0.2029680067897935
cells,mean_2,mean_10,shapemix_length,rmse_v1,2,0.0972329062249784,0.0005949143437211921,0.096812238258308,0.0976535741916488
cells,mean_20,mean_10,nnls,jsd_v2,2,0.1100546283430654,0.000640626944525354,0.1096016366863807,0.1105076199997501
cells,mean_20,mean_10,nnls,rmse_v1,2,0.0416277270085978,0.00036966230191750894,0.0413663362881629,0.0418891177290327
cells,mean_20,mean_10,shapemix_count_only,jsd_v2,2,0.0831365232959764,0.0008316398827641269,0.0825484650953687,0.0837245814965841
cells,mean_20,mean_10,shapemix_count_only,rmse_v1,2,0.0336211559164481,0.00025734450207824124,0.0334391858739275,0.0338031259589687
cells,mean_20,mean_10,shapemix_length,jsd_v2,2,0.08539500037030875,3.5119868758128465e-05,0.0853701668729555,0.085419833867662
cells,mean_20,mean_10,shapemix_length,rmse_v1,2,0.03316146268266225,8.447303633762065e-05,0.0331017312258405,0.033221194139484
cells,mean_5,mean_10,nnls,jsd_v2,2,0.17388538933087075,0.0016025116768382522,0.1727522424572478,0.1750185362044937
cells,mean_5,mean_10,nnls,rmse_v1,2,0.0739015205176772,0.0004388960958158594,0.0735911741120895,0.0742118669232649
cells,mean_5,mean_10,shapemix_count_only,jsd_v2,2,0.16307890706932884,0.00047091515829857057,0.1627459197675324,0.1634118943711253
cells,mean_5,mean_10,shapemix_count_only,rmse_v1,2,0.06670484325651505,0.00025047187508194744,0.0665277328951481,0.066881953617882
cells,mean_5,mean_10,shapemix_length,jsd_v2,2,0.1758079127130921,0.0008552644954520045,0.1752031493886499,0.1764126760375343
cells,mean_5,mean_10,shapemix_length,rmse_v1,2,0.06891908004562791,0.0010260482897972536,0.0681935543420874,0.0696446057491684
depth,keep_0p25,keep_1p00,nnls,jsd_v2,2,0.17888877505844905,0.0026361773856991046,0.1770247161526106,0.1807528339642875
depth,keep_0p25,keep_1p00,nnls,rmse_v1,2,0.06221682806958595,0.0006673497303612418,0.0617449405498245,0.0626887155893474
depth,keep_0p25,keep_1p00,shapemix_count_only,jsd_v2,2,0.1697560306362593,0.0016613430449287086,0.1685812837033131,0.1709307775692055
