restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,True,0,-11450746.9140625,-11200272.03515625,-35660.447509765625,-22686679.396728516
0,True,1,-11431376.07421875,-11200241.0078125,-35904.337646484375,-22667521.419677734
0,True,2,-11422193.12109375,-11200159.171875,-36116.46435546875,-22658468.75732422
0,True,3,-11418390.421875,-11200045.51953125,-36290.324951171875,-22654726.266357422
0,True,4,-11416523.0703125,-11199916.16796875,-36424.7373046875,-22652863.975585938
0,True,5,-11415010.796875,-11199780.31640625,-36524.58984375,-22651315.703125
0,True,6,-11413438.6484375,-11199642.44140625,-36596.927490234375,-22649678.017333984
0,True,7,-11411850.84375,-11199504.6875,-36648.834228515625,-22648004.365478516
0,True,8,-11410366.53515625,-11199368.1328125,-36686.493408203125,-22646421.161376953
0,True,9,-11409040.69921875,-11199233.11328125,-36714.92626953125,-22644988.73876953
0,True,10,-11407865.3125,-11199099.7265625,-36738.00634765625,-22643703.045410156
0,True,11,-11406806.34765625,-11198968.17578125,-36758.5205078125,-22642533.043945312
0,True,12,-11405829.48828125,-11198838.37109375,-36778.291015625,-22641446.150390625
0,True,13,-11404910.7265625,-11198710.41796875,-36798.35546875,-22640419.5
0,True,14,-11404038.66015625,-11198584.09765625,-36819.126220703125,-22639441.884033203
0,True,15,-11403212.41796875,-11198459.75390625,-36840.548583984375,-22638512.720458984
0,True,16,-11402436.51953125,-11198336.890625,-36862.260986328125,-22637635.671142578
0,True,17,-11401714.81640625,-11198215.59375,-36883.745361328125,-22636814.155517578
0,True,18,-11401046.51171875,-11198095.6875,-36904.453857421875,-22636046.653076172
0,True,19,-11400427.49609375,-11197977.234375,-36923.90625,-22635328.63671875
0,True,20,-11399852.57421875,-11197860.22265625,-36941.76123046875,-22634654.55810547
0,True,21,-11399316.265625,-11197744.8203125,-36957.8466796875,-22634018.932617188
0,True,22,-11398812.8203125,-11197631.28125,-36972.173095703125,-22633416.274658203
0,True,23,-11398336.7578125,-11197519.68359375,-36984.888916015625,-22632841.330322266
0,True,24,-11397884.140625,-11197410.3125,-36996.220947265625,-22632290.674072266
0,True,25,-11397454.2578125,-11197303.26953125,-37006.391357421875,-22631763.918701172
0,True,26,-11397046.3984375,-11197198.546875,-37015.57373046875,-22631260.51904297
0,True,27,-11396658.015625,-11197096.24609375,-37023.875732421875,-22630778.137451172
0,True,28,-11396285.48828125,-11196996.20703125,-37031.35888671875,-22630313.05419922
0,True,29,-11395928.32421875,-11196898.5234375,-37038.05224609375,-22629864.899902344
0,True,30,-11395587.9609375,-11196802.76953125,-37043.960205078125,-22629434.690673828
0,True,31,-11395266.42578125,-11196709.0703125,-37049.093994140625,-22629024.59008789
0,True,32,-11394963.34765625,-11196617.17578125,-37053.462158203125,-22628633.985595703
0,True,33,-11394676.640625,-11196526.9921875,-37057.07958984375,-22628260.712402344
0,True,34,-11394404.58984375,-11196438.421875,-37059.947265625,-22627902.958984375
0,True,35,-11394146.3046875,-11196351.59375,-37062.061279296875,-22627559.959716797
0,True,36,-11393901.2734375,-11196266.09375,-37063.41162109375,-22627230.778808594
0,True,37,-11393668.484375,-11196182.1015625,-37063.994873046875,-22626914.580810547
0,True,38,-11393446.5390625,-11196099.43359375,-37063.829345703125,-22626609.802001953
0,True,39,-11393234.359375,-11196018.1953125,-37062.958740234375,-22626315.513427734
0,True,40,-11393031.0859375,-11195938.140625,-37061.451171875,-22626030.677734375
0,True,41,-11392836.75,-11195859.46875,-37059.375732421875,-22625755.594482422
0,True,42,-11392651.02734375,-11195782.13671875,-37056.800048828125,-22625489.964111328
0,True,43,-11392473.85546875,-11195706.24609375,-37053.7841796875,-22625233.885742188
0,True,44,-11392305.359375,-11195631.625,-37050.38232421875,-22624987.36669922
0,True,45,-11392144.671875,-11195558.43359375,-37046.66552734375,-22624749.770996094
0,True,46,-11391990.2578125,-11195486.53125,-37042.719970703125,-22624519.509033203
0,True,47,-11391841.2890625,-11195416.07421875,-37038.6298828125,-22624295.993164062
0,True,48,-11391697.265625,-11195346.89453125,-37034.46435546875,-22624078.62451172
0,True,49,-11391559.00390625,-11195278.890625,-37030.24267578125,-22623868.13720703
0,True,50,-11391427.24609375,-11195211.953125,-37025.947509765625,-22623665.146728516
0,True,51,-11391301.65234375,-11195145.97265625,-37021.54736328125,-22623469.17236328
0,True,52,-11391181.64453125,-11195081.03515625,-37017.032958984375,-22623279.712646484
0,True,53,-11391065.95703125,-11195016.80078125,-37012.436767578125,-22623095.194580078
0,True,54,-11390953.99609375,-11194953.77734375,-37007.832763671875,-22622915.606201172
0,True,55,-11390846.0234375,-11194891.453125,-37003.30908203125,-22622740.78564453
0,True,56,-11390742.19921875,-11194830.3203125,-36998.9404296875,-22622571.459960938
0,True,57,-11390642.77734375,-11194770.01171875,-36994.76904296875,-22622407.55810547
0,True,58,-11390547.4765625,-11194710.8203125,-36990.802734375,-22622249.099609375
0,True,59,-11390455.86328125,-11194652.62890625,-36987.02392578125,-22622095.51611328
0,True,60,-11390367.3359375,-11194595.37109375,-36983.404052734375,-22621946.111083984
0,True,61,-11390281.92578125,-11194539.0546875,-36979.921630859375,-22621800.90209961
0,True,62,-11390199.48046875,-11194483.69921875,-36976.57666015625,-22621659.756347656
0,True,63,-11390119.9375,-11194429.37890625,-36973.396240234375,-22621522.712646484
0,True,64,-11390043.16796875,-11194376.078125,-36970.41845703125,-22621389.66455078
0,True,65,-11389968.74609375,-11194323.91796875,-36967.685546875,-22621260.349609375
0,True,66,-11389896.55078125,-11194272.98046875,-36965.22216796875,-22621134.75341797
0,True,67,-11389826.6953125,-11194223.28515625,-36963.03662109375,-22621013.017089844
0,True,68,-11389759.14453125,-11194174.62109375,-36961.128662109375,-22620894.89428711
0,True,69,-11389694.08203125,-11194126.95703125,-36959.4873046875,-22620780.526367188
0,True,70,-11389631.375,-11194080.34375,-36958.1103515625,-22620669.829101562
0,True,71,-11389570.8671875,-11194034.5625,-36957.001953125,-22620562.431640625
0,True,72,-11389512.27734375,-11193989.71875,-36956.18212890625,-22620458.178222656
0,True,73,-11389455.4765625,-11193945.7265625,-36955.68798828125,-22620356.89111328
0,True,74,-11389400.62109375,-11193902.87109375,-36955.549560546875,-22620259.041748047
0,True,75,-11389347.3359375,-11193860.8671875,-36955.7900390625,-22620163.993164062
0,True,76,-11389295.7890625,-11193819.93359375,-36956.407958984375,-22620072.130615234
0,True,77,-11389245.85546875,-11193780.15234375,-36957.388916015625,-22619983.396728516
