dataset_id,method_id,cell_type,evidence_type,evidence_gsm,assay,status,aligned_spots,spearman_r,constant_map_or_score,minimum_marker_features,present_marker_count,missing_marker_count,present_markers,missing_markers,evidence_class
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Excitatory neurons,rna_marker_score,GSM6204636,rna,available,2373,0.18337497242017115,False,2,4,0,Slc17a7;Satb2;Tbr1;Cux2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Excitatory neurons,rna_marker_score,GSM6204636,rna,available,2373,0.10558759842459167,False,2,4,0,Slc17a7;Satb2;Tbr1;Cux2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Excitatory neurons,rna_marker_score,GSM6204636,rna,available,2373,-0.015370738274348,False,2,4,0,Slc17a7;Satb2;Tbr1;Cux2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Inhibitory neurons,rna_marker_score,GSM6204636,rna,available,2373,0.13156856990868188,False,2,4,0,Gad1;Gad2;Slc6a1;Pvalb,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Inhibitory neurons,rna_marker_score,GSM6204636,rna,available,2373,0.22791888949248457,False,2,4,0,Gad1;Gad2;Slc6a1;Pvalb,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Inhibitory neurons,rna_marker_score,GSM6204636,rna,available,2373,0.06505881225215927,False,2,4,0,Gad1;Gad2;Slc6a1;Pvalb,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Other neurons,rna_marker_score,GSM6204636,rna,available,2373,0.010394922820597988,False,2,3,1,Slc17a6;Chat;Th,Dbh,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Other neurons,rna_marker_score,GSM6204636,rna,available,2373,0.007195618194315003,False,2,3,1,Slc17a6;Chat;Th,Dbh,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Other neurons,rna_marker_score,GSM6204636,rna,available,2373,0.040064085136285364,False,2,3,1,Slc17a6;Chat;Th,Dbh,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Astroglia/ependymal,rna_marker_score,GSM6204636,rna,available,2373,0.28187582983359694,False,2,4,0,Aqp4;Gfap;Slc1a3;Foxj1,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Astroglia/ependymal,rna_marker_score,GSM6204636,rna,available,2373,0.2817102091604435,False,2,4,0,Aqp4;Gfap;Slc1a3;Foxj1,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Astroglia/ependymal,rna_marker_score,GSM6204636,rna,available,2373,0.2059940840097346,False,2,4,0,Aqp4;Gfap;Slc1a3;Foxj1,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Oligodendrocytes,rna_marker_score,GSM6204636,rna,available,2373,0.5672548831733296,False,2,4,0,Mbp;Plp1;Mog;Mag,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Oligodendrocytes,rna_marker_score,GSM6204636,rna,available,2373,0.563564007031912,False,2,4,0,Mbp;Plp1;Mog;Mag,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Oligodendrocytes,rna_marker_score,GSM6204636,rna,available,2373,0.3573670504097124,False,2,4,0,Mbp;Plp1;Mog;Mag,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,OPCs,rna_marker_score,GSM6204636,rna,available,2373,0.2531005207349139,False,2,4,0,Pdgfra;Cspg4;Olig1;Olig2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,OPCs,rna_marker_score,GSM6204636,rna,available,2373,0.2567700272703604,False,2,4,0,Pdgfra;Cspg4;Olig1;Olig2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,OPCs,rna_marker_score,GSM6204636,rna,available,2373,0.23564052469573663,False,2,4,0,Pdgfra;Cspg4;Olig1;Olig2,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Microglia/macrophages,rna_marker_score,GSM6204636,rna,available,2373,0.15896949756963114,False,2,4,0,C1qa;C1qb;Aif1;Cx3cr1,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Microglia/macrophages,rna_marker_score,GSM6204636,rna,available,2373,0.15969336317422306,False,2,4,0,C1qa;C1qb;Aif1;Cx3cr1,,independent_orthogonal_validation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Microglia/macrophages,rna_marker_score,GSM6204636,rna,available,2373,0.07382284755958575,False,2,4,0,C1qa;C1qb;Aif1;Cx3cr1,,independent_orthogonal_validation
